,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
498,Odin,Male,blue,God / Eternal,White,206,Marvel Comics,-,good,293
535,Q,Male,-,God / Eternal,-,-99,Star Trek,-,-,-99
615,Spectre,Male,white,God / Eternal,No Hair,-99,DC Comics,white,good,-99
647,Swamp Thing,Male,red,God / Eternal,No Hair,-99,DC Comics,green,bad,-99
677,Trigon,Male,yellow,God / Eternal,Black,-99,DC Comics,red,bad,-99
293,Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,-,bad,270
353,Jar Jar Binks,Male,yellow,Gungan,-,193,George Lucas,orange / white,good,-99
0,A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,-,good,441
5,Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,-,bad,122
7,Adam Strange,Male,blue,Human,Blond,185,DC Comics,-,good,88
9,Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,-,good,81
14,Alex Mercer,Male,-,Human,-,-99,Wildstorm,-,bad,-99
16,Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,-,good,72
20,Ammo,Male,brown,Human,Black,188,Marvel Comics,-,bad,101
27,Animal Man,Male,blue,Human,Blond,183,DC Comics,-,good,83
29,Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,-,good,122
30,Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,-,good,86
38,Arachne,Female,blue,Human,Blond,175,Marvel Comics,-,good,63
45,Arsenal,Male,-,Human,-,-99,DC Comics,-,good,-99
52,Atom II,Male,brown,Human,Auburn,183,DC Comics,-,good,81
57,Azrael,Male,brown,Human,Black,-99,DC Comics,-,good,-99
59,Bane,Male,-,Human,-,203,DC Comics,-,bad,180
60,Banshee,Male,green,Human,Strawberry Blond,183,Marvel Comics,-,good,77
63,Batgirl,Female,green,Human,Red,170,DC Comics,-,good,57
65,Batgirl IV,Female,green,Human,Black,165,DC Comics,-,good,52
68,Batman,Male,blue,Human,black,188,DC Comics,-,good,95
69,Batman,Male,blue,Human,Black,178,DC Comics,-,good,77
70,Batman II,Male,blue,Human,Black,178,DC Comics,-,good,79
72,Batwoman V,Female,green,Human,Red,178,DC Comics,-,good,-99
75,Beast Boy,Male,green,Human,Green,173,DC Comics,green,good,68
88,Bird-Man,Male,-,Human,-,-99,Marvel Comics,-,bad,-99
89,Bird-Man II,Male,-,Human,-,-99,Marvel Comics,-,bad,-99
96,Black Canary,Female,blue,Human,Blond,165,DC Comics,-,good,58
98,Black Cat,Female,green,Human,Blond,178,Marvel Comics,-,good,54
101,Black Knight III,Male,brown,Human,Brown,183,Marvel Comics,-,good,86
104,Black Manta,Male,black,Human,No Hair,188,DC Comics,-,bad,92
105,Black Panther,Male,brown,Human,Black,183,Marvel Comics,-,good,90
106,Black Widow,Female,green,Human,Auburn,170,Marvel Comics,-,good,59
119,Bloodaxe,Female,blue,Human,Brown,218,Marvel Comics,-,bad,495
125,Blue Beetle III,Male,brown,Human,Black,-99,DC Comics,-,good,-99
131,Booster Gold,Male,blue,Human,Blond,196,DC Comics,-,good,97
137,Brother Voodoo,Male,brown,Human,Brown / White,183,Marvel Comics,-,good,99
139,Buffy,Female,green,Human,Blond,157,Dark Horse Comics,-,good,52
140,Bullseye,Male,blue,Human,blond,183,Marvel Comics,-,bad,90
141,Bumblebee,Female,brown,Human,Black,170,DC Comics,-,good,59
143,Bushido,Male,-,Human,-,-99,DC Comics,-,good,-99
148,Captain America,Male,blue,Human,blond,188,Marvel Comics,-,good,108
150,Captain Britain,Male,blue,Human,Blond,198,Marvel Comics,-,good,116
151,Captain Cold,Male,brown,Human,Brown,-99,DC Comics,-,neutral,-99
153,Captain Hindsight,Male,-,Human,Black,-99,South Park,-,good,-99
156,Captain Marvel,Male,blue,Human,Black,193,DC Comics,-,good,101
157,Captain Marvel II,Male,blue,Human,Black,175,DC Comics,-,good,74
158,Captain Midnight,Male,-,Human,-,-99,Dark Horse Comics,-,good,-99
164,Catwoman,Female,green,Human,Black,175,DC Comics,-,good,61
171,Cheetah,Female,green,Human,Blond,163,DC Comics,-,bad,50
172,Cheetah II,Female,green,Human,Brown,170,DC Comics,-,bad,55
173,Cheetah III,Female,brown,Human,Brown,175,DC Comics,-,bad,54
176,Citizen Steel,Male,green,Human,Red,183,DC Comics,-,good,170
180,Clock King,Male,blue,Human,Black,178,DC Comics,-,bad,78
187,Cottonmouth,Male,brown,Human,Black,183,Marvel Comics,-,bad,99
200,Daredevil,Male,blue,Human,Red,183,Marvel Comics,-,good,90
201,Darkhawk,Male,brown,Human,Brown,185,Marvel Comics,-,good,81
208,Dash,Male,blue,Human,Blond,122,Dark Horse Comics,-,good,27
211,Deadman,Male,blue,Human,Black,183,DC Comics,-,good,90
213,Deadshot,Male,brown,Human,Brown,185,DC Comics,-,bad,91
215,Deathstroke,Male,blue,Human,White,193,DC Comics,-,neutral,101
218,Diamondback,Male,brown,Human,Black,193,Marvel Comics,-,bad,90
221,Doctor Doom,Male,brown,Human,Brown,201,Marvel Comics,-,bad,187
223,Doctor Fate,Male,blue,Human,Blond,188,DC Comics,-,good,89
224,Doctor Octopus,Male,brown,Human,Brown,175,Marvel Comics,-,bad,110
225,Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,-,good,81
226,Domino,Female,blue,Human,Black,173,Marvel Comics,white,good,54
235,Elastigirl,Female,brown,Human,Brown,168,Dark Horse Comics,-,good,56
236,Electro,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,74
237,Elektra,Female,blue,Human,Black,175,Marvel Comics,-,good,59
241,Enchantress,Female,blue,Human,Blond,168,DC Comics,-,good,57
244,Ethan Hunt,Male,brown,Human,Brown,168,,-,good,-99
250,Falcon,Male,brown,Human,Black,188,Marvel Comics,-,good,108
260,Firestorm,Male,blue,Human,Auburn,188,DC Comics,-,good,91
262,Flash,Male,blue,Human,Brown / White,180,DC Comics,-,good,81
264,Flash II,Male,blue,Human,Blond,183,DC Comics,-,good,88
265,Flash III,Male,-,Human,-,183,DC Comics,-,good,86
266,Flash IV,Male,yellow,Human,Auburn,157,DC Comics,-,good,52
281,Giant-Man,Male,-,Human,-,-99,Marvel Comics,-,good,-99
290,Goliath,Male,-,Human,-,-99,Marvel Comics,-,good,-99
291,Goliath,Male,-,Human,-,-99,Marvel Comics,-,good,-99
295,Gravity,Male,blue,Human,Brown,178,Marvel Comics,-,good,79
297,Green Arrow,Male,green,Human,Blond,188,DC Comics,-,good,88
298,Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,83
303,Guardian,Male,brown,Human,Black,-99,Marvel Comics,-,good,-99
305,Hal Jordan,Male,brown,Human,Brown,188,DC Comics,-,good,90
306,Han Solo,Male,brown,Human,Brown,183,George Lucas,-,good,79
307,Hancock,Male,brown,Human,Black,188,Sony Pictures,-,good,-99
308,Harley Quinn,Female,blue,Human,Blond,170,DC Comics,-,bad,63
309,Harry Potter,Male,green,Human,Black,-99,J. K. Rowling,-,good,-99
312,Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
313,Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,-,good,57
319,Heat Wave,Male,blue,Human,No Hair,180,DC Comics,-,bad,81
322,Hellcat,Female,blue,Human,Red,173,Marvel Comics,-,good,61
326,Hit-Girl,Female,-,Human,-,-99,Icon Comics,-,good,-99
339,Impulse,Male,yellow,Human,Auburn,170,DC Comics,-,good,65
340,Indiana Jones,Male,-,Human,-,183,George Lucas,-,good,79
344,Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,-,good,79
345,Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
349,Jack of Hearts,Male,blue / white,Human,Brown,155,Marvel Comics,-,good,79
350,Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,-,good,14
351,James Bond,Male,blue,Human,Blond,183,Titan Books,-,good,-99
352,James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,-,good,77
354,Jason Bourne,Male,-,Human,-,-99,,-,good,-99
356,Jean-Luc Picard,Male,-,Human,-,-99,Star Trek,-,good,-99
358,Jesse Quick,Female,-,Human,-,-99,DC Comics,-,good,-99
359,Jessica Cruz,Female,green,Human,Brown,-99,DC Comics,-,good,-99
360,Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,-,good,56
366,John Constantine,Male,blue,Human,Blond,183,DC Comics,-,good,-99
367,John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
369,Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
372,Judge Dredd,Male,-,Human,-,188,Rebellion,-,good,-99
373,Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
375,Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
376,Jyn Erso,Female,green,Human,Brown,-99,George Lucas,-,good,-99
379,Karate Kid,Male,brown,Human,Brown,173,DC Comics,-,good,72
380,Kathryn Janeway,Female,-,Human,-,-99,Star Trek,-,good,-99
381,Katniss Everdeen,Female,-,Human,-,-99,,-,good,-99
382,Kevin 11,Male,-,Human,Black,-99,DC Comics,-,good,-99
383,Kick-Ass,Male,blue,Human,Blond,-99,Icon Comics,-,good,-99
384,Kid Flash,Male,green,Human,Red,-99,DC Comics,-,good,-99
387,Killer Frost,Female,blue,Human,Blond,-99,DC Comics,blue,bad,-99
391,Kingpin,Male,blue,Human,No Hair,201,Marvel Comics,-,bad,203
392,Klaw,Male,red,Human,No Hair,188,Marvel Comics,red,bad,97
394,Kraven II,Male,brown,Human,Black,191,Marvel Comics,-,bad,99
395,Kraven the Hunter,Male,brown,Human,Black,183,Marvel Comics,-,bad,106
397,Kyle Rayner,Male,green,Human,Black,180,DC Comics,-,good,79
398,Kylo Ren,Male,-,Human,-,-99,George Lucas,-,bad,-99
405,Lex Luthor,Male,green,Human,No Hair,188,DC Comics,-,bad,95
412,Lizard,Male,red,Human,No Hair,203,Marvel Comics,-,bad,230
415,Longshot,Male,blue,Human,Blond,188,Marvel Comics,-,good,36
416,Luke Cage,Male,brown,Human,Black,198,Marvel Comics,-,good,191
418,Luke Skywalker,Male,blue,Human,Blond,168,George Lucas,-,good,77
419,Luna,Female,-,Human,-,-99,Marvel Comics,-,good,-99
427,Man-Bat,Male,brown,Human,Brown,-99,DC Comics,-,neutral,-99
430,Mandarin,Male,blue,Human,White,188,Marvel Comics,-,bad,97
457,Mister Freeze,Male,-,Human,-,183,DC Comics,-,bad,86
461,Mister Zsasz,Male,blue,Human,Blond,-99,DC Comics,-,bad,-99
462,Mockingbird,Female,blue,Human,Blond,175,Marvel Comics,-,good,61
470,Moon Knight,Male,brown,Human,Brown,188,Marvel Comics,-,good,101
476,Mr Incredible,Male,blue,Human,Blond,201,Dark Horse Comics,-,good,158
479,Mysterio,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
485,Naruto Uzumaki,Male,-,Human,-,168,Shueisha,-,good,54
489,Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,-,good,99
491,Nightwing,Male,blue,Human,Black,178,DC Comics,-,good,79
496,Nova,Male,brown,Human,Brown,185,Marvel Comics,-,good,86
502,One Punch Man,Male,-,Human,No Hair,175,Shueisha,-,good,69
505,Oracle,Female,blue,Human,Red,178,DC Comics,-,good,59
508,Ozymandias,Male,blue,Human,Blond,-99,DC Comics,-,bad,-99
510,Paul Blart,Male,-,Human,-,170,Sony Pictures,-,good,117
514,Penguin,Male,blue,Human,Black,157,DC Comics,-,bad,79
521,Plastic Man,Male,blue,Human,Black,185,DC Comics,-,good,80
523,Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
529,Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,-,bad,81
532,Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
533,Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
537,Question,Male,blue,Human,Blond,188,DC Comics,-,good,83
540,Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,-,bad,97
542,Rambo,Male,brown,Human,Black,178,,-,good,83
544,Raven,Female,indigo,Human,Black,165,DC Comics,-,neutral,50
545,Ray,Male,green,Human,Red,178,DC Comics,-,good,70
547,Red Arrow,Male,green,Human,Red,180,DC Comics,-,good,83
548,Red Hood,Male,blue,Human,Black,183,DC Comics,-,neutral,81
551,Red Robin,Male,blue,Human,Black,165,DC Comics,-,good,56
557,Rey,Female,hazel,Human,Brown,297,George Lucas,-,good,-99
561,Rip Hunter,Male,blue,Human,Blond,-99,DC Comics,-,good,-99
563,Robin,Male,blue,Human,Black,178,DC Comics,-,good,79
564,Robin II,Male,blue,Human,Red,183,DC Comics,-,good,101
565,Robin III,Male,blue,Human,Black,165,DC Comics,-,good,56
566,Robin V,Male,blue,Human,Black,137,DC Comics,-,good,38
567,Robin VI,Female,green,Human,Red,-99,DC Comics,-,neutral,-99
570,Ronin,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
571,Rorschach,Male,blue,Human,Red,168,DC Comics,-,good,63
574,Sandman,Male,brown,Human,Brown,185,Marvel Comics,-,neutral,203
578,Scarecrow,Male,blue,Human,Brown,183,DC Comics,-,bad,63
579,Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,-,good,74
583,Scorpion,Male,brown,Human,Brown,211,Marvel Comics,-,bad,310
589,Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,-,good,79
591,She-Hulk,Female,green,Human,Green,201,Marvel Comics,-,good,315
593,Shocker,Male,brown,Human,Brown,175,Marvel Comics,-,bad,79
597,Silk,Female,brown,Human,Black,-99,Marvel Comics,-,good,-99
602,Simon Baz,Male,bown,Human,Black,-99,DC Comics,-,good,-99
613,Space Ghost,Male,-,Human,-,188,DC Comics,-,good,113
617,Speedy,Male,-,Human,-,-99,DC Comics,-,good,-99
618,Speedy,Female,green,Human,Brown,-99,DC Comics,-,good,-99
620,Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,-,good,54
621,Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,-,good,56
622,Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
623,Spider-Man,-,red,Human,Brown,178,Marvel Comics,-,good,77
624,Spider-Man,Male,brown,Human,Black,157,Marvel Comics,-,good,56
625,Spider-Woman,Female,green,Human,Black,178,Marvel Comics,-,good,59
635,Stargirl,Female,blue,Human,Blond,165,DC Comics,-,good,62
641,Stormtrooper,Male,-,Human,-,183,George Lucas,-,bad,-99
655,Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,-,bad,99
659,The Comedian,Male,brown,Human,Black,188,DC Comics,-,neutral,101
668,Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
676,Trickster,Male,blue,Human,Blond,183,DC Comics,-,-,81
694,Vibe,Male,brown,Human,Black,178,DC Comics,-,good,71
695,Vindicator,Female,green,Human,Red,165,Marvel Comics,-,good,54
698,Violet Parr,Female,violet,Human,Black,137,Dark Horse Comics,-,good,41
701,Vixen,Female,amber,Human,Black,175,DC Comics,-,good,63
703,Vulture,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
704,Walrus,Male,blue,Human,Black,183,Marvel Comics,-,bad,162
705,War Machine,Male,brown,Human,Brown,185,Marvel Comics,-,good,95
710,Wasp,Female,blue,Human,Auburn,163,Marvel Comics,-,good,50
713,White Canary,Female,brown,Human,Black,-99,DC Comics,-,bad,-99
716,Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,-,good,117
728,Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,-,good,83
729,Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,-,good,52
732,Zatanna,Female,blue,Human,Black,170,DC Comics,-,good,57
233,Drax the Destroyer,Male,red,Human / Altered,No Hair,193,Marvel Comics,green,good,306
435,Master Chief,Male,brown,Human / Altered,Brown,213,Microsoft,-,good,-99
460,Mister Sinister,Male,red,Human / Altered,Black,196,Marvel Comics,-,bad,128
126,Boba Fett,Male,brown,Human / Clone,Black,183,George Lucas,-,bad,-99
232,Dr Manhattan,Male,white,Human / Cosmic,No Hair,-99,DC Comics,blue,good,-99
497,Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
3,Abomination,Male,green,Human / Radiation,No Hair,203,Marvel Comics,-,bad,441
149,Captain Atom,Male,blue,Human / Radiation,Silver,193,DC Comics,silver,good,90
220,Doc Samson,Male,blue,Human / Radiation,Green,198,Marvel Comics,-,good,171
331,Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
332,Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,-,good,77
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,-,good,54
456,Mister Fantastic,Male,brown,Human / Radiation,Brown,185,Marvel Comics,-,good,81
549,Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
558,Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,-,bad,320
592,She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,153
660,Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,225
155,Captain Marvel,Female,blue,Human-Kree,Blond,180,Marvel Comics,-,good,74
431,Mantis,Female,green,Human-Kree,Black,168,Marvel Comics,green,good,52
632,Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,-,good,79
629,Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,-,good,81
304,Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,-,good,95
1,Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191,Dark Horse Comics,blue,good,65
95,Black Bolt,Male,blue,Inhuman,Black,188,Marvel Comics,-,good,95
190,Crystal,Female,green,Inhuman,Red,168,Marvel Comics,-,good,50
441,Medusa,Female,green,Inhuman,Red,180,Marvel Comics,-,good,59
679,Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
286,Godzilla,-,-,Kaiju,-,108,,grey,bad,
255,Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975,Marvel Comics,green,good,18
603,Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
252,Faora,Female,-,Kryptonian,-,-99,DC Comics,-,bad,-99
277,General Zod,Male,black,Kryptonian,Black,-99,DC Comics,-,bad,-99
396,Krypto,Male,blue,Kryptonian,White,64,DC Comics,-,good,18
525,Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,-,good,81
644,Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,-,bad,77
645,Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,-,good,54
646,Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
487,Nebula,Female,blue,Luphomoid,No Hair,185,Marvel Comics,blue,bad,83
576,Sauron,Male,-,Maiar,-,279,J. R. R. Tolkien,-,bad,-99
432,Martian Manhunter,Male,red,Martian,No Hair,201,DC Comics,green,good,135
97,Black Canary,Female,blue,Metahuman,Blond,170,DC Comics,-,good,59
386,Killer Croc,Male,red,Metahuman,No Hair,244,DC Comics,green,bad,356
24,Angel Dust,Female,yellow,Mutant,Black,165,Marvel Comics,-,good,57
34,Apocalypse,Male,red,Mutant,Black,213,Marvel Comics,grey,bad,135
39,Archangel,Male,blue,Mutant,Blond,183,Marvel Comics,blue,good,68
47,Atlas,Male,brown,Mutant,Red,183,Marvel Comics,-,good,101
55,Aurora,Female,blue,Mutant,Black,180,Marvel Comics,-,good,63
74,Beast,Male,blue,Mutant,Blue,180,Marvel Comics,blue,good,181
91,Bishop,Male,brown,Mutant,No Hair,198,Marvel Comics,-,good,124
114,Blink,Female,green,Mutant,Magenta,165,Marvel Comics,pink,good,56
120,Bloodhawk,Male,black,Mutant,No Hair,-99,Marvel Comics,-,good,-99
129,Boom-Boom,Female,blue,Mutant,Blond,165,Marvel Comics,-,good,55
138,Brundlefly,Male,-,Mutant,-,193,,-,-,-99
144,Cable,Male,blue,Mutant,White,203,Marvel Comics,-,good,158
167,Cerebra,Female,-,Mutant,-,-99,Marvel Comics,-,good,-99
168,Chamber,Male,brown,Mutant,Brown,175,Marvel Comics,-,good,63
184,Colossus,Male,silver,Mutant,Black,226,Marvel Comics,-,good,225
185,Copycat,Female,red,Mutant,White,183,Marvel Comics,blue,neutral,67
195,Cyclops,Male,brown,Mutant,Brown,191,Marvel Comics,-,good,88
205,Darkstar,Female,brown,Mutant,Blond,168,Marvel Comics,-,good,56
210,Dazzler,Female,blue,Mutant,Blond,173,Marvel Comics,-,good,52
212,Deadpool,Male,brown,Mutant,No Hair,188,Marvel Comics,-,neutral,95
227,Donatello,Male,green,Mutant,No Hair,-99,IDW Publishing,green,good,-99
246,Evil Deadpool,Male,white,Mutant,Red,188,Marvel Comics,-,bad,95
248,Exodus,Male,blue,Mutant,Black,183,Marvel Comics,red,bad,88
258,Firestar,Female,green,Mutant,Red,173,Marvel Comics,-,good,56
268,Franklin Richards,Male,blue,Mutant,Blond,142,Marvel Comics,-,good,45
273,Gambit,Male,red,Mutant,Brown,185,Marvel Comics,-,good,81
275,Garbage Man,Male,-,Mutant,-,-99,DC Comics,-,good,-99
310,Havok,Male,blue,Mutant,Blond,183,Marvel Comics,-,good,79
334,Husk,Female,blue,Mutant,Blond,170,Marvel Comics,-,good,58
338,Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,-,good,65
342,Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,-,good,81
355,Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
371,Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
374,Junkpile,Male,-,Mutant,-,-99,Marvel Comics,-,bad,-99
403,Legion,Male,green / blue,Mutant,Black,175,Marvel Comics,-,good,59
404,Leonardo,Male,blue,Mutant,No Hair,-99,IDW Publishing,green,good,-99
423,Magneto,Male,grey,Mutant,White,188,Marvel Comics,-,bad,86
450,Michelangelo,Male,blue,Mutant,-,-99,IDW Publishing,green,good,-99
475,Mr Immortal,Male,blue,Mutant,Blond,188,Marvel Comics,-,good,70
480,Mystique,Female,yellow (without irises),Mutant,Red / Orange,178,Marvel Comics,blue,bad,54
488,Negasonic Teenage Warhead,Female,black,Mutant,Black,-99,Marvel Comics,-,good,-99
504,Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,-,bad,405
518,Phoenix,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
519,Plantman,Male,green,Mutant,Grey,183,Marvel Comics,-,bad,87
524,Polaris,Female,green,Mutant,Green,170,Marvel Comics,-,good,52
526,Power Man,Male,-,Mutant,-,-99,Marvel Comics,-,good,-99
528,Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,-,good,86
531,Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,-,good,70
538,Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,-,good,79
543,Raphael,Male,-,Mutant,No Hair,-99,IDW Publishing,green,good,-99
572,Sabretooth,Male,amber,Mutant,Blond,198,Marvel Comics,-,bad,171
581,Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,-,bad,59
584,Sebastian Shaw,Male,-,Mutant,-,-99,Marvel Comics,-,bad,-99
585,Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,-,neutral,87
588,Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,-,good,50
630,Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,-,good,83
636,Static,Male,brown,Mutant,Black,170,DC Comics,-,good,63
640,Storm,Female,blue,Mutant,White,180,Marvel Comics,-,good,57
642,Sunspot,Male,brown,Mutant,black,173,Marvel Comics,-,good,77
648,Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
672,Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
709,Warpath,Male,brown,Mutant,Black,218,Marvel Comics,-,good,158
719,Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
725,X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,-,good,50
80,Big Barda,Female,blue,New God,Black,188,DC Comics,-,bad,135
203,Darkseid,Male,red,New God,No Hair,267,DC Comics,grey,bad,817
639,Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
56,Azazel,Male,yellow,Neyaphem,Black,183,Marvel Comics,red,bad,67
509,Parademon,-,-,Parademon,-,-99,DC Comics,-,bad,-99
464,Mogo,Male,-,Planet,-,-99,DC Comics,-,good,-99
296,Greedo,Male,purple,Rodian,-,170,George Lucas,green,bad,-99
288,Goku,Male,-,Saiyan,-,175,Shueisha,-,good,62
688,Vegeta,Male,-,Saiyan,Black,168,Shueisha,-,bad,73
458,Mister Knife,Male,blue,Spartoi,Brown,-99,Marvel Comics,-,bad,-99
284,Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
33,Anti-Venom,Male,blue,Symbiote,Blond,229,Marvel Comics,-,-,358
161,Carnage,Male,green,Symbiote,Red,185,Marvel Comics,-,bad,86
335,Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,-,good,77
619,Spider-Carnage,Male,-,Symbiote,-,-99,Marvel Comics,-,bad,-99
673,Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,-,good,97
674,Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,-,good,117
689,Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
691,Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,-,bad,334
692,Venompool,Male,-,Symbiote,-,226,Marvel Comics,-,-,-99
587,Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
634,Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
2,Abin Sur,Male,blue,Ungaran,No Hair,185,DC Comics,red,good,90
23,Angel,Male,-,Vampire,-,-99,Dark Horse Comics,-,good,-99
111,Blade,Male,brown,Vampire,Black,188,Marvel Comics,-,good,97
17,Alien,Male,-,Xenomorph XX121,No Hair,244,Dark Horse Comics,black,bad,169
527,Predator,Male,-,Yautja,-,213,Dark Horse Comics,-,bad,234
731,Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
274,Gamora,Female,yellow,Zen-Whoberian,Black,183,Marvel Comics,green,good,77
611,Solomon Grundy,Male,black,Zombie,White,279,DC Comics,-,bad,437
