,state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
463,Tennessee,7000,55,385000,92000,164.0,631000,2005
464,Texas,84000,71,5964000,954000,85.0,5069000,2005
465,Utah,23000,45,1035000,331000,103.0,1066000,2005
466,Vermont,6000,91,546000,169000,106.0,579000,2005
467,Virginia,8000,37,296000,59000,221.0,654000,2005
468,Washington,51000,55,2805000,1935000,106.0,2973000,2005
469,WestVirginia,8000,51,408000,102000,124.0,506000,2005
470,Wisconsin,64000,83,5312000,2922000,114.0,6056000,2005
471,Wyoming,40000,56,2240000,291000,87.0,1949000,2005
472,Alabama,11000,72,792000,230000,146.0,1156000,2006
473,Arizona,30000,65,1950000,839000,139.0,2711000,2006
474,Arkansas,32000,76,2432000,730000,105.0,2554000,2006
475,California,380000,52,19760000,7706000,98.0,19365000,2006
476,Colorado,36000,75,2700000,1458000,139.0,3753000,2006
477,Florida,170000,81,13770000,1790000,101.0,13908000,2006
478,Georgia,63000,74,4662000,746000,116.0,5408000,2006
479,Hawaii,10000,93,930000,233000,119.0,1107000,2006
480,Idaho,95000,44,4180000,2592000,86.0,3595000,2006
481,Illinois,10000,66,660000,356000,188.0,1241000,2006
482,Indiana,6000,54,324000,107000,151.0,489000,2006
483,Iowa,26000,84,2184000,1441000,115.0,2512000,2006
484,Kansas,14000,55,770000,246000,140.0,1078000,2006
485,Kentucky,5000,56,280000,70000,220.0,616000,2006
486,Louisiana,30000,90,2700000,675000,89.0,2403000,2006
487,Maine,11000,23,253000,86000,200.0,506000,2006
488,Michigan,72000,55,3960000,2099000,128.0,5069000,2006
489,Minnesota,125000,80,10000000,3300000,89.0,8900000,2006
490,Mississippi,14000,98,1372000,453000,105.0,1441000,2006
491,Missouri,15000,46,690000,117000,149.0,1028000,2006
492,Montana,132000,79,10428000,1981000,100.0,10428000,2006
493,Nebraska,47000,73,3431000,3843000,104.0,3568000,2006
494,Nevada,9000,37,333000,50000,355.0,1182000,2006
495,NewJersey,9000,36,324000,152000,115.0,373000,2006
496,NewMexico,7000,48,336000,104000,96.0,323000,2006
497,NewYork,60000,64,3840000,2458000,138.0,5299000,2006
498,NorthCarolina,10000,50,500000,215000,156.0,780000,2006
499,NorthDakota,350000,74,25900000,7770000,90.0,23310000,2006
500,Ohio,14000,56,784000,282000,145.0,1137000,2006
501,Oregon,46000,48,2208000,729000,111.0,2451000,2006
502,Pennsylvania,28000,40,1120000,605000,161.0,1803000,2006
503,SouthDakota,225000,47,10575000,10575000,82.0,8672000,2006
504,Tennessee,7000,55,385000,58000,184.0,708000,2006
505,Texas,82000,70,5740000,976000,87.0,4994000,2006
506,Utah,23000,50,1150000,265000,105.0,1208000,2006
507,Vermont,6000,56,336000,144000,121.0,407000,2006
508,Virginia,8000,42,336000,114000,219.0,736000,2006
509,Washington,49000,52,2548000,1605000,119.0,3032000,2006
510,WestVirginia,5000,42,210000,57000,195.0,410000,2006
511,Wisconsin,64000,93,5952000,2500000,114.0,6785000,2006
512,Wyoming,39000,85,3315000,497000,88.0,2917000,2006
513,Alabama,11000,56,616000,209000,141.0,869000,2007
514,Arizona,30000,64,1920000,902000,118.0,2266000,2007
515,Arkansas,28000,80,2240000,717000,95.0,2128000,2007
516,California,340000,40,13600000,3672000,104.0,14144000,2007
517,Colorado,33000,51,1683000,892000,112.0,1885000,2007
518,Florida,160000,71,11360000,1363000,99.0,11246000,2007
519,Georgia,60000,58,3480000,522000,114.0,3967000,2007
520,Hawaii,10000,92,920000,285000,158.0,1454000,2007
521,Idaho,92000,41,3772000,1848000,108.0,4074000,2007
522,Illinois,9000,63,567000,374000,240.0,1361000,2007
523,Indiana,7000,51,357000,100000,139.0,496000,2007
524,Iowa,26000,81,2106000,1221000,126.0,2654000,2007
525,Kansas,14000,40,560000,196000,112.0,627000,2007
526,Kentucky,4000,61,244000,54000,208.0,508000,2007
527,Louisiana,29000,89,2581000,413000,108.0,2787000,2007
528,Maine,9000,26,234000,59000,139.0,325000,2007
529,Michigan,72000,64,4608000,2350000,114.0,5253000,2007
530,Minnesota,130000,68,8840000,2564000,99.0,8752000,2007
531,Mississippi,15000,105,1575000,189000,90.0,1418000,2007
532,Missouri,13000,47,611000,141000,105.0,642000,2007
533,Montana,135000,68,9180000,2203000,94.0,8629000,2007
534,Nebraska,45000,49,2205000,1477000,98.0,2161000,2007
535,Nevada,10000,28,280000,67000,360.0,1008000,2007
536,NewJersey,9000,57,513000,185000,217.0,1113000,2007
537,NewMexico,6000,59,354000,138000,136.0,481000,2007
538,NewYork,56000,57,3192000,1947000,142.0,4533000,2007
539,NorthCarolina,11000,45,495000,69000,225.0,1114000,2007
540,NorthDakota,420000,74,31080000,9013000,92.0,28594000,2007
541,Ohio,14000,61,854000,376000,175.0,1495000,2007
542,Oregon,44000,43,1892000,1041000,121.0,2289000,2007
543,Pennsylvania,25000,42,1050000,326000,163.0,1712000,2007
544,SouthDakota,255000,52,13260000,10608000,93.0,12332000,2007
545,Tennessee,7000,65,455000,114000,195.0,887000,2007
546,Texas,105000,82,8610000,1550000,95.0,8180000,2007
547,Utah,25000,39,975000,224000,112.0,1092000,2007
548,Vermont,5000,64,320000,96000,126.0,403000,2007
549,Virginia,6000,46,276000,63000,235.0,649000,2007
550,Washington,46000,44,2024000,648000,125.0,2530000,2007
551,WestVirginia,5000,48,240000,79000,196.0,470000,2007
552,Wisconsin,60000,84,5040000,3024000,115.0,5796000,2007
553,Wyoming,43000,80,3440000,894000,103.0,3543000,2007
554,Alabama,9000,66,594000,214000,186.0,1105000,2008
555,Arizona,25000,64,1600000,336000,125.0,2000000,2008
556,Arkansas,28000,75,2100000,525000,131.0,2751000,2008
557,California,360000,51,18360000,4039000,141.0,25888000,2008
558,Colorado,27000,45,1215000,656000,150.0,1823000,2008
559,Florida,150000,79,11850000,1304000,130.0,15405000,2008
560,Georgia,55000,71,3905000,312000,149.0,5818000,2008
561,Hawaii,10000,90,900000,225000,148.0,1332000,2008
562,Idaho,90000,40,3600000,1440000,142.0,5112000,2008
563,Illinois,8000,56,448000,116000,246.0,1102000,2008
564,Indiana,6000,67,402000,129000,161.0,647000,2008
565,Iowa,24000,62,1488000,580000,156.0,2321000,2008
566,Kansas,10000,61,610000,128000,152.0,927000,2008
567,Kentucky,4000,39,156000,27000,236.0,368000,2008
568,Louisiana,29000,77,2233000,246000,133.0,2970000,2008
569,Maine,7000,42,294000,79000,150.0,441000,2008
570,Michigan,71000,73,5183000,2021000,143.0,7412000,2008
571,Minnesota,122000,78,9516000,2569000,139.0,13227000,2008
572,Mississippi,14000,98,1372000,110000,130.0,1784000,2008
573,Missouri,11000,53,583000,152000,178.0,1038000,2008
574,Montana,134000,70,9380000,4596000,137.0,12851000,2008
575,Nebraska,36000,67,2412000,1254000,142.0,3425000,2008
576,Nevada,10000,29,290000,52000,237.0,687000,2008
577,NewJersey,9000,40,360000,122000,158.0,569000,2008
578,NewMexico,6000,48,288000,95000,148.0,426000,2008
579,NewYork,50000,70,3500000,1260000,150.0,5250000,2008
580,NorthCarolina,12000,52,624000,137000,212.0,1323000,2008
581,NorthDakota,390000,90,35100000,8424000,135.0,47385000,2008
582,Ohio,14000,53,742000,371000,188.0,1395000,2008
583,Oregon,50000,43,2150000,1097000,148.0,3182000,2008
584,Pennsylvania,23000,48,1104000,276000,165.0,1822000,2008
585,SouthDakota,225000,95,21375000,11970000,134.0,28643000,2008
586,Tennessee,7000,61,427000,149000,204.0,871000,2008
587,Texas,77000,64,4928000,1380000,134.0,6604000,2008
588,Utah,28000,48,1344000,242000,156.0,2097000,2008
589,Vermont,5000,66,330000,119000,179.0,591000,2008
590,Virginia,6000,42,252000,45000,218.0,549000,2008
591,Washington,41000,44,1804000,722000,150.0,2706000,2008
592,WestVirginia,6000,43,258000,49000,198.0,511000,2008
593,Wisconsin,58000,80,4640000,2366000,140.0,6496000,2008
594,Wyoming,39000,61,2379000,381000,137.0,3259000,2008
595,Alabama,9000,49,441000,66000,182.0,803000,2009
596,Arizona,20000,52,1040000,562000,153.0,1591000,2009
597,Arkansas,24000,57,1368000,301000,139.0,1902000,2009
598,California,355000,33,11715000,2109000,139.0,16284000,2009
599,Colorado,28000,53,1484000,326000,140.0,2078000,2009
600,Florida,150000,68,10200000,1428000,138.0,14076000,2009
601,Georgia,65000,41,2665000,346000,147.0,3918000,2009
602,Hawaii,10000,95,950000,323000,163.0,1549000,2009
603,Idaho,103000,46,4738000,1706000,145.0,6870000,2009
604,Illinois,8000,34,272000,57000,226.0,615000,2009
605,Indiana,9000,32,288000,101000,198.0,570000,2009
606,Iowa,26000,42,1092000,339000,151.0,1649000,2009
607,Kansas,9000,63,567000,164000,189.0,1072000,2009
608,Kentucky,5000,35,175000,25000,273.0,478000,2009
609,Louisiana,37000,103,3811000,610000,132.0,5031000,2009
610,Maine,6000,50,300000,51000,186.0,558000,2009
611,Michigan,66000,60,3960000,1505000,151.0,5980000,2009
612,Minnesota,122000,65,7930000,1427000,140.0,11102000,2009
613,Mississippi,14000,104,1456000,87000,132.0,1922000,2009
614,Missouri,11000,47,517000,57000,198.0,1024000,2009
615,Montana,146000,70,10220000,3577000,145.0,14819000,2009
616,Nebraska,48000,56,2688000,1102000,144.0,3871000,2009
617,Nevada,10000,52,520000,57000,129.0,671000,2009
618,NewJersey,9000,32,288000,46000,193.0,556000,2009
619,NewMexico,7000,60,420000,143000,163.0,685000,2009
620,NewYork,47000,65,3055000,978000,183.0,5591000,2009
621,NorthCarolina,11000,45,495000,84000,252.0,1247000,2009
622,NorthDakota,450000,77,34650000,7623000,137.0,47471000,2009
623,Ohio,11000,50,550000,132000,275.0,1513000,2009
624,Oregon,55000,34,1870000,767000,149.0,2786000,2009
625,Pennsylvania,21000,40,840000,319000,199.0,1672000,2009
626,SouthDakota,270000,66,17820000,6237000,139.0,24770000,2009
627,Tennessee,7000,51,357000,86000,235.0,839000,2009
628,Texas,74000,63,4662000,886000,138.0,6434000,2009
629,Utah,26000,38,988000,198000,147.0,1452000,2009
630,Vermont,5000,49,245000,69000,236.0,578000,2009
631,Virginia,6000,39,234000,56000,328.0,768000,2009
632,Washington,62000,44,2728000,1064000,149.0,4065000,2009
633,WestVirginia,5000,37,185000,33000,267.0,494000,2009
634,Wisconsin,63000,60,3780000,1588000,151.0,5708000,2009
635,Wyoming,37000,48,1776000,391000,143.0,2540000,2009
636,Alabama,9000,54,73000,73000,240.0,1166000,2010
637,Arizona,24000,77,665000,665000,152.0,2809000,2010
638,Arkansas,25000,60,360000,360000,147.0,2205000,2010
639,California,410000,67,6318000,6318000,155.0,42579000,2010
640,Colorado,34000,56,533000,533000,152.0,2894000,2010
641,Florida,200000,69,1794000,1794000,156.0,21528000,2010
642,Georgia,55000,46,152000,152000,167.0,4225000,2010
643,Hawaii,10000,77,239000,239000,275.0,2118000,2010
644,Idaho,97000,27,1179000,1179000,161.0,4217000,2010
645,Illinois,9000,41,92000,92000,278.0,1026000,2010
646,Indiana,10000,43,151000,151000,223.0,959000,2010
647,Iowa,27000,49,463000,463000,192.0,2540000,2010
648,Kansas,9000,52,103000,103000,202.0,945000,2010
649,Kentucky,5000,67,67000,67000,272.0,911000,2010
650,Louisiana,36000,80,288000,288000,150.0,4320000,2010
651,Maine,5000,41,33000,33000,205.0,420000,2010
652,Michigan,71000,58,1524000,1524000,167.0,6877000,2010
653,Minnesota,128000,66,1774000,1774000,155.0,13094000,2010
654,Mississippi,16000,98,78000,78000,144.0,2258000,2010
655,Missouri,11000,52,92000,92000,180.0,1030000,2010
656,Montana,157000,74,2905000,2905000,158.0,18356000,2010
657,Nebraska,41000,55,902000,902000,151.0,3405000,2010
658,NewJersey,13000,35,73000,73000,190.0,865000,2010
659,NewMexico,7000,66,157000,157000,158.0,730000,2010
660,NewYork,45000,64,1123000,1123000,196.0,5645000,2010
661,NorthCarolina,13000,46,144000,144000,266.0,1591000,2010
662,NorthDakota,510000,91,12995000,12995000,150.0,69615000,2010
663,Ohio,18000,62,346000,346000,228.0,2544000,2010
664,Oregon,59000,39,874000,874000,163.0,3751000,2010
665,Pennsylvania,30000,37,377000,377000,213.0,2364000,2010
666,SouthDakota,265000,58,4765000,4765000,151.0,23209000,2010
667,Tennessee,8000,63,106000,106000,250.0,1260000,2010
668,Texas,100000,72,792000,792000,151.0,10872000,2010
669,Utah,26000,30,195000,195000,153.0,1193000,2010
670,Vermont,4000,65,73000,73000,310.0,806000,2010
671,Virginia,5000,37,37000,37000,332.0,614000,2010
672,Washington,71000,37,1077000,1077000,157.0,4124000,2010
673,WestVirginia,5000,40,40000,40000,239.0,478000,2010
674,Wisconsin,64000,64,1556000,1556000,168.0,6881000,2010
675,Wyoming,34000,36,282000,282000,159.0,1946000,2010
676,Alabama,9000,50,63000,63000,251.0,1130000,2011
677,Arizona,23000,53,427000,427000,155.0,1889000,2011
678,Arkansas,22000,64,239000,239000,162.0,2281000,2011
679,California,370000,48,3730000,3730000,165.0,29304000,2011
680,Colorado,31000,55,443000,443000,200.0,3410000,2011
681,Florida,180000,61,988000,988000,168.0,18446000,2011
682,Georgia,65000,43,196000,196000,165.0,4612000,2011
683,Hawaii,9000,74,246000,246000,365.0,2431000,2011
684,Idaho,87000,36,1879000,1879000,178.0,5575000,2011
685,Illinois,7000,50,98000,98000,390.0,1365000,2011
686,Indiana,8000,51,147000,147000,214.0,873000,2011
687,Iowa,25000,62,961000,961000,196.0,3038000,2011
688,Kansas,7000,44,117000,117000,215.0,662000,2011
689,Kentucky,4000,39,12000,12000,317.0,495000,2011
690,Louisiana,36000,77,471000,471000,167.0,4629000,2011
691,Maine,4000,30,17000,17000,198.0,238000,2011
692,Michigan,74000,64,2084000,2084000,181.0,8572000,2011
693,Minnesota,120000,53,2099000,2099000,163.0,10367000,2011
694,Mississippi,18000,115,104000,104000,153.0,3167000,2011
695,Missouri,8000,43,76000,76000,214.0,736000,2011
696,Montana,145000,92,3202000,3202000,170.0,22678000,2011
697,Nebraska,41000,59,653000,653000,175.0,4233000,2011
698,NewJersey,11000,41,135000,135000,370.0,1669000,2011
699,NewMexico,7000,56,153000,153000,169.0,662000,2011
700,NewYork,49000,56,1235000,1235000,196.0,5378000,2011
701,NorthCarolina,14000,62,95000,95000,283.0,2456000,2011
702,NorthDakota,460000,71,7512000,7512000,167.0,54542000,2011
703,Ohio,15000,66,228000,228000,234.0,2317000,2011
704,Oregon,60000,34,755000,755000,168.0,3427000,2011
705,Pennsylvania,24000,44,306000,306000,255.0,2693000,2011
706,SouthDakota,250000,66,4290000,4290000,170.0,28050000,2011
707,Tennessee,7000,44,68000,68000,293.0,902000,2011
708,Texas,78000,58,633000,633000,178.0,8053000,2011
709,Utah,23000,39,170000,170000,175.0,1570000,2011
710,Vermont,4000,43,43000,43000,231.0,397000,2011
711,Virginia,4000,40,21000,21000,407.0,651000,2011
712,Washington,71000,38,836000,836000,193.0,5207000,2011
713,WestVirginia,4000,53,45000,45000,257.0,545000,2011
714,Wisconsin,57000,63,1508000,1508000,189.0,6787000,2011
715,Wyoming,35000,54,265000,265000,172.0,3251000,2011
716,Alabama,8000,54,65000,65000,247.0,1067000,2012
717,Arizona,22000,46,253000,253000,179.0,1811000,2012
718,Arkansas,25000,63,189000,189000,198.0,3119000,2012
719,California,330000,35,3119000,3119000,194.0,22407000,2012
720,Colorado,25000,48,468000,468000,207.0,2484000,2012
721,Florida,193000,64,1235000,1235000,184.0,22728000,2012
722,Georgia,59000,51,181000,181000,192.0,5777000,2012
723,Hawaii,10000,75,263000,263000,415.0,3113000,2012
724,Idaho,92000,32,530000,530000,163.0,4799000,2012
725,Illinois,7000,61,145000,145000,355.0,1516000,2012
726,Indiana,8000,59,203000,203000,254.0,1199000,2012
727,Iowa,37000,61,1196000,1196000,217.0,4898000,2012
728,Kansas,6000,55,125000,125000,228.0,752000,2012
729,Kentucky,5000,51,41000,41000,315.0,803000,2012
730,Louisiana,41000,86,141000,141000,183.0,6453000,2012
731,Maine,4000,34,24000,24000,239.0,325000,2012
732,Michigan,73000,57,1332000,1332000,203.0,8447000,2012
733,Minnesota,125000,67,1591000,1591000,192.0,16080000,2012
734,Mississippi,18000,118,64000,64000,177.0,3759000,2012
735,Missouri,7000,53,108000,108000,280.0,1039000,2012
736,Montana,145000,52,2413000,2413000,195.0,14703000,2012
737,Nebraska,43000,65,1146000,1146000,193.0,5394000,2012
738,NewJersey,14000,33,51000,51000,197.0,910000,2012
739,NewMexico,5000,52,99000,99000,339.0,881000,2012
740,NewYork,51000,51,988000,988000,223.0,5800000,2012
741,NorthCarolina,13000,39,106000,106000,376.0,1906000,2012
742,NorthDakota,480000,69,5962000,5962000,192.0,63590000,2012
743,Ohio,18000,60,410000,410000,246.0,2657000,2012
744,Oregon,60000,32,845000,845000,216.0,4147000,2012
745,Pennsylvania,16000,60,269000,269000,257.0,2467000,2012
746,SouthDakota,260000,63,3604000,3604000,195.0,31941000,2012
747,Tennessee,6000,61,59000,59000,293.0,1072000,2012
748,Texas,92000,52,718000,718000,200.0,9568000,2012
749,Utah,25000,38,209000,209000,187.0,1777000,2012
750,Vermont,4000,60,53000,53000,239.0,574000,2012
751,Virginia,4000,41,23000,23000,377.0,618000,2012
752,Washington,62000,41,1017000,1017000,238.0,6050000,2012
753,WestVirginia,6000,48,95000,95000,291.0,838000,2012
754,Wisconsin,60000,69,1863000,1863000,205.0,8487000,2012
755,Wyoming,50000,51,459000,459000,187.0,4769000,2012
756,Alabama,7000,52,55000,55000,285.0,1037000,2013
757,Arizona,29000,36,251000,251000,196.0,2046000,2013
758,Arkansas,22000,60,66000,66000,202.0,2666000,2013
759,California,330000,33,2505000,2505000,211.0,22978000,2013
760,Colorado,26000,43,324000,324000,210.0,2348000,2013
761,Florida,220000,61,1074000,1074000,203.0,27243000,2013
762,Georgia,67000,50,637000,637000,226.0,7571000,2013
763,Hawaii,13000,83,65000,65000,197.0,2126000,2013
764,Idaho,83000,32,1036000,1036000,202.0,5365000,2013
765,Illinois,7000,48,101000,101000,419.0,1408000,2013
766,Indiana,6000,47,82000,82000,277.0,781000,2013
767,Iowa,39000,48,1217000,1217000,245.0,4586000,2013
768,Kansas,6000,46,39000,39000,250.0,690000,2013
769,Kentucky,3000,41,17000,17000,325.0,400000,2013
770,Louisiana,50000,98,490000,490000,189.0,9261000,2013
771,Maine,7000,43,27000,27000,314.0,945000,2013
772,Michigan,85000,55,982000,982000,216.0,10098000,2013
773,Minnesota,130000,58,1282000,1282000,199.0,15005000,2013
774,Mississippi,17000,116,39000,39000,186.0,3668000,2013
775,Missouri,10000,47,85000,85000,262.0,1231000,2013
776,Montana,159000,94,5231000,5231000,209.0,31237000,2013
777,Nebraska,46000,60,1628000,1628000,207.0,5713000,2013
778,NewJersey,11000,44,34000,34000,419.0,2028000,2013
779,NewYork,55000,48,1030000,1030000,212.0,5597000,2013
780,NorthCarolina,10000,38,84000,84000,367.0,1395000,2013
781,NorthDakota,480000,69,6955000,6955000,204.0,67565000,2013
782,Ohio,17000,45,390000,390000,329.0,2517000,2013
783,Oregon,62000,35,456000,456000,239.0,5186000,2013
784,Pennsylvania,13000,45,257000,257000,303.0,1773000,2013
785,SouthDakota,265000,56,6381000,6381000,207.0,30719000,2013
786,Tennessee,7000,45,63000,63000,355.0,1118000,2013
787,Texas,106000,59,1689000,1689000,210.0,13133000,2013
788,Utah,30000,34,92000,92000,209.0,2132000,2013
789,Vermont,3000,51,46000,46000,389.0,595000,2013
790,Virginia,5000,35,42000,42000,450.0,788000,2013
791,Washington,69000,39,1023000,1023000,230.0,6189000,2013
792,WestVirginia,6000,46,83000,83000,366.0,1010000,2013
793,Wisconsin,59000,60,1558000,1558000,238.0,8425000,2013
794,Wyoming,47000,66,558000,558000,211.0,6545000,2013
795,Alabama,7000,53,26000,26000,353.0,1310000,2014
796,Arizona,26000,39,193000,193000,192.0,1947000,2014
797,Arkansas,21000,65,137000,137000,204.0,2785000,2014
798,California,320000,39,2995000,2995000,206.0,25709000,2014
799,Colorado,27000,37,200000,200000,211.0,2108000,2014
800,Florida,245000,60,1029000,1029000,208.0,30576000,2014
801,Georgia,73000,62,362000,362000,219.0,9912000,2014
802,Hawaii,15000,93,140000,140000,229.0,3195000,2014
803,Idaho,100000,34,850000,850000,203.0,6902000,2014
804,Illinois,8000,49,94000,94000,411.0,1611000,2014
805,Indiana,5000,62,115000,115000,319.0,989000,2014
806,Iowa,35000,43,933000,933000,241.0,3627000,2014
807,Kansas,7000,75,84000,84000,238.0,1250000,2014
808,Kentucky,5000,47,56000,56000,396.0,931000,2014
809,Louisiana,48000,84,524000,524000,218.0,8790000,2014
810,Maine,8000,47,41000,41000,499.0,1876000,2014
811,Michigan,91000,63,1835000,1835000,249.0,14275000,2014
812,Minnesota,132000,60,1426000,1426000,206.0,16315000,2014
813,Mississippi,20000,112,45000,45000,201.0,4502000,2014
814,Missouri,12000,47,96000,96000,363.0,2047000,2014
815,Montana,162000,88,5132000,5132000,209.0,29795000,2014
816,Nebraska,50000,75,1688000,1688000,204.0,7650000,2014
817,NewJersey,12000,30,119000,119000,313.0,1127000,2014
818,NewYork,60000,55,1518000,1518000,283.0,9339000,2014
819,NorthCarolina,12000,43,88000,88000,349.0,1801000,2014
820,NorthDakota,490000,86,9271000,9271000,199.0,83859000,2014
821,Ohio,15000,61,256000,256000,358.0,3276000,2014
822,Oregon,71000,40,767000,767000,220.0,6248000,2014
823,Pennsylvania,17000,46,203000,203000,291.0,2276000,2014
824,SouthCarolina,9000,54,19000,19000,397.0,1929000,2014
825,SouthDakota,280000,87,5846000,5846000,208.0,50669000,2014
826,Tennessee,7000,63,88000,88000,376.0,1658000,2014
827,Texas,116000,78,2081000,2081000,224.0,20268000,2014
828,Utah,29000,28,130000,130000,213.0,1730000,2014
829,Vermont,3000,58,61000,61000,489.0,851000,2014
830,Virginia,6000,41,57000,57000,468.0,1151000,2014
831,Washington,68000,44,1167000,1167000,261.0,7809000,2014
832,WestVirginia,6000,31,33000,33000,407.0,757000,2014
833,Wisconsin,53000,54,1030000,1030000,238.0,6812000,2014
834,Wyoming,38000,61,255000,255000,208.0,4821000,2014
835,Alabama,7000,47,13000,13000,383.0,1260000,2015
836,Arizona,26000,49,306000,306000,203.0,2586000,2015
837,Arkansas,24000,72,121000,121000,206.0,3560000,2015
838,California,275000,30,1485000,1485000,203.0,16748000,2015
839,Colorado,29000,51,399000,399000,226.0,3343000,2015
840,Florida,220000,54,832000,832000,197.0,23404000,2015
841,Georgia,69000,40,221000,221000,243.0,6707000,2015
842,Hawaii,14000,102,71000,71000,191.0,2727000,2015
843,Idaho,89000,32,1082000,1082000,193.0,5497000,2015
844,Illinois,8000,51,155000,155000,466.0,1901000,2015
845,Indiana,6000,53,165000,165000,323.0,1027000,2015
846,Iowa,36000,50,990000,990000,220.0,3960000,2015
847,Kansas,8000,36,107000,107000,350.0,1008000,2015
848,Kentucky,5000,46,55000,55000,404.0,929000,2015
849,Louisiana,44000,99,348000,348000,195.0,8494000,2015
850,Maine,10000,47,47000,47000,543.0,2552000,2015
851,Michigan,90000,58,1984000,1984000,244.0,12737000,2015
852,Minnesota,122000,68,2157000,2157000,184.0,15265000,2015
853,Mississippi,15000,83,87000,87000,240.0,2988000,2015
854,Missouri,10000,52,52000,52000,355.0,1846000,2015
855,Montana,146000,83,3757000,3757000,194.0,23509000,2015
856,Nebraska,57000,48,1450000,1450000,204.0,5581000,2015
857,NewJersey,12000,27,207000,207000,420.0,1361000,2015
858,NewYork,58000,62,899000,899000,294.0,10572000,2015
859,NorthCarolina,12000,45,103000,103000,451.0,2435000,2015
860,NorthDakota,490000,74,9428000,9428000,180.0,65268000,2015
861,Ohio,17000,50,357000,357000,360.0,3060000,2015
862,Oregon,71000,38,809000,809000,243.0,6556000,2015
863,Pennsylvania,17000,53,225000,225000,362.0,3262000,2015
864,SouthCarolina,14000,67,38000,38000,410.0,3846000,2015
865,SouthDakota,290000,66,9379000,9379000,179.0,34261000,2015
866,Tennessee,7000,59,78000,78000,404.0,1669000,2015
867,Texas,126000,66,1164000,1164000,210.0,17464000,2015
868,Utah,27000,42,147000,147000,192.0,2177000,2015
869,Vermont,5000,52,62000,62000,423.0,1100000,2015
870,Virginia,6000,38,50000,50000,553.0,1261000,2015
871,Washington,73000,44,1221000,1221000,180.0,5782000,2015
872,WestVirginia,5000,35,32000,32000,444.0,777000,2015
873,Wisconsin,52000,67,1603000,1603000,243.0,8466000,2015
874,Wyoming,38000,77,146000,146000,190.0,5559000,2015
875,Alabama,7000,52,33000,33000,345.0,1256000,2016
876,Arizona,27000,46,261000,261000,197.0,2447000,2016
877,Arkansas,24000,69,99000,99000,185.0,3064000,2016
878,California,310000,36,2009000,2009000,204.0,22766000,2016
879,Colorado,32000,40,282000,282000,224.0,2867000,2016
880,Florida,215000,50,538000,538000,243.0,26123000,2016
881,Georgia,96000,39,899000,899000,269.0,10071000,2016
882,Hawaii,16000,113,127000,127000,231.0,4176000,2016
883,Idaho,97000,34,1253000,1253000,182.0,6002000,2016
884,Illinois,10000,48,77000,77000,542.0,2602000,2016
885,Indiana,7000,62,208000,208000,346.0,1502000,2016
886,Iowa,37000,48,746000,746000,208.0,3694000,2016
887,Kansas,7000,48,54000,54000,304.0,1021000,2016
888,Kentucky,5000,46,48000,48000,402.0,925000,2016
889,Louisiana,50000,86,301000,301000,194.0,8342000,2016
890,Maine,12000,34,65000,65000,338.0,1379000,2016
891,Michigan,89000,60,1709000,1709000,237.0,12656000,2016
892,Minnesota,124000,59,1390000,1390000,169.0,12364000,2016
893,Mississippi,19000,85,113000,113000,173.0,2794000,2016
894,Missouri,8000,62,30000,30000,231.0,1146000,2016
895,Montana,159000,77,3183000,3183000,177.0,21670000,2016
896,Nebraska,48000,46,640000,640000,191.0,4217000,2016
897,NewJersey,12000,27,198000,198000,709.0,2297000,2016
898,NewYork,64000,57,1167000,1167000,319.0,11637000,2016
899,NorthCarolina,12000,37,89000,89000,478.0,2122000,2016
900,NorthDakota,485000,78,6809000,6809000,185.0,69986000,2016
901,Ohio,15000,79,664000,664000,393.0,4657000,2016
902,Oregon,74000,35,622000,622000,191.0,4947000,2016
903,Pennsylvania,19000,50,266000,266000,303.0,2879000,2016
904,SouthCarolina,16000,45,36000,36000,457.0,3290000,2016
905,SouthDakota,280000,71,12127000,12127000,176.0,34989000,2016
906,Tennessee,6000,55,69000,69000,488.0,1610000,2016
907,Texas,133000,70,2607000,2607000,208.0,19365000,2016
908,Utah,31000,32,169000,169000,193.0,1915000,2016
909,Vermont,6000,52,69000,69000,364.0,1136000,2016
910,Virginia,5000,38,30000,30000,585.0,1112000,2016
911,Washington,84000,35,412000,412000,199.0,5851000,2016
912,WestVirginia,5000,32,43000,43000,392.0,627000,2016
913,Wisconsin,54000,62,1205000,1205000,267.0,8939000,2016
914,Wyoming,40000,68,190000,190000,178.0,4842000,2016
915,Alabama,7000,45,22000,22000,288.0,907000,2017
916,Arizona,22000,40,97000,97000,199.0,1751000,2017
917,Arkansas,29000,68,197000,197000,197.0,3885000,2017
918,California,335000,41,2198000,2198000,216.0,29668000,2017
919,Colorado,33000,43,284000,284000,209.0,2966000,2017
920,Florida,205000,43,529000,529000,237.0,20892000,2017
921,Georgia,99000,32,190000,190000,300.0,9504000,2017
922,Hawaii,19000,131,25000,25000,153.0,3808000,2017
923,Idaho,95000,44,1045000,1045000,179.0,7482000,2017
924,Illinois,11000,46,167000,167000,509.0,2576000,2017
925,Indiana,8000,52,158000,158000,361.0,1502000,2017
926,Iowa,35000,58,1035000,1035000,226.0,4588000,2017
927,Kansas,7000,79,260000,260000,403.0,2229000,2017
928,Kentucky,5000,38,42000,42000,413.0,785000,2017
929,Louisiana,43000,81,279000,279000,193.0,6722000,2017
