Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Intel® Xeon® Processor E3 v5 Family,Server,E3-1220V5,Launched,Q4'15,14 nm,$193.00 - $203.00,4,4,3.00 GHz,3.50 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,,,,N/A,,N/A,N/A,N/A,N/A,,3,"1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
Intel® Xeon® Processor E3 v6 Family,Server,E3-1220V6,Launched,Q1'17,14 nm,$193.00 - $203.00,4,4,3.00 GHz,3.50 GHz,8 MB,8 GT/s DMI3,72 W,No,Yes,64 GB,"DDR4-2400, DDR3L-1866",2,37.5 GB/s,Yes,,,,,N/A,,N/A,N/A,N/A,N/A,,3,"1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 Family,Server,E5-2690,End of Life,Q1'12,32 nm,$2057.00 - $2061.00,8,16,2.90 GHz,3.80 GHz,20 MB SmartCache,8 GT/s QPI,135 W,No,,384 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,,40,72.0 °C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2697V2,Launched,Q3'13,22 nm,$2614.00 - $2618.00,12,24,2.70 GHz,3.50 GHz,30 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2695V2,Launched,Q3'13,22 nm,$2336.00 - $2340.00,12,24,2.40 GHz,3.20 GHz,30 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,81°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-1620V4,Launched,Q2'16,14 nm,$294.00 - $297.00,4,8,3.50 GHz,3.80 GHz,10 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,69°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-1630V4,Launched,Q2'16,14 nm,$406.00 ,4,8,3.70 GHz,4.00 GHz,10 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,69°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-1650V4,Launched,Q2'16,14 nm,$617.00 - $621.00,6,12,3.60 GHz,4.00 GHz,15 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,69°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-1660V4,Launched,Q2'16,14 nm,"$1,113.00 ",8,16,3.20 GHz,3.80 GHz,20 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,70°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-1680V4,Launched,Q2'16,14 nm,"$1,723.00 ",8,16,3.40 GHz,4.00 GHz,20 MB,0 GT/s QPI,140 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,70°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2603V4,Launched,Q1'16,14 nm,$213.00 ,6,6,1.70 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,73°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2608LV4,Launched,Q1'16,14 nm,$363.00 ,8,16,1.60 GHz,1.70 GHz,20 MB SmartCache,6.4 GT/s QPI,50 W,Yes,Yes,1.54 TB,DDR4 1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,94°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2609V4,Launched,Q1'16,14 nm,$306.00 - $310.00,8,8,1.70 GHz,,20 MB SmartCache,6.4 GT/s QPI,85 W,Yes,Yes,1.54 TB,DDR4 1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2618LV4,Launched,Q1'16,14 nm,$779.00 ,10,20,2.20 GHz,3.20 GHz,25 MB SmartCache,8 GT/s QPI,75 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2620V4,Launched,Q1'16,14 nm,$417.00 - $422.00,8,16,2.10 GHz,3.00 GHz,20 MB SmartCache,8 GT/s QPI,85 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2623V4,Launched,Q1'16,14 nm,$444.00 ,4,8,2.60 GHz,3.20 GHz,10 MB SmartCache,8 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,73°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2628LV4,Launched,Q1'16,14 nm,"$1,364.00 ",12,24,1.90 GHz,2.40 GHz,30 MB SmartCache,8 GT/s QPI,75 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2630LV4,Launched,Q1'16,14 nm,$612.00 ,10,20,1.80 GHz,2.90 GHz,25 MB SmartCache,8 GT/s QPI,55 W,No,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,62°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2630V4,Launched,Q1'16,14 nm,$667.00 - $671.00,10,20,2.20 GHz,3.10 GHz,25 MB SmartCache,8 GT/s QPI,85 W,No,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2637V4,Launched,Q1'16,14 nm,$996.00 ,4,8,3.50 GHz,3.70 GHz,15 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2640V4,Launched,Q1'16,14 nm,$939.00 ,10,20,2.40 GHz,3.40 GHz,25 MB SmartCache,8 GT/s QPI,90 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133,4,68.3 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2643V4,Launched,Q1'16,14 nm,"$1,552.00 ",6,12,3.40 GHz,3.70 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2648LV4,Launched,Q1'16,14 nm,"$1,544.00 ",14,28,1.80 GHz,2.50 GHz,35 MB SmartCache,9.6 GT/s QPI,75 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2650LV4,Launched,Q1'16,14 nm,"$1,329.00 ",14,28,1.70 GHz,2.50 GHz,35 MB SmartCache,9.6 GT/s QPI,65 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,64°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2650V4,Launched,Q1'16,14 nm,$1166.00 - $1171.00,12,24,2.20 GHz,2.90 GHz,30 MB SmartCache,9.6 GT/s QPI,105 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,80°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2660V4,Launched,Q1'16,14 nm,"$1,445.00 ",14,28,2.00 GHz,3.20 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2667V4,Launched,Q1'16,14 nm,"$2,057.00 ",8,16,3.20 GHz,3.60 GHz,25 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,78°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2658V4,Launched,Q1'16,14 nm,"$1,832.00 ",14,28,2.30 GHz,2.80 GHz,35 MB SmartCache,9.6 GT/s QPI,105 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,91°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2680V4,Launched,Q1'16,14 nm,$1745.00 - $1749.00,14,28,2.40 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2683V4,Launched,Q1'16,14 nm,"$1,846.00 ",16,32,2.10 GHz,3.00 GHz,40 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2687WV4,Launched,Q1'16,14 nm,$2141.00 - $2145.00,12,24,3.00 GHz,3.50 GHz,30 MB SmartCache,9.6 GT/s QPI,160 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2690V4,Launched,Q1'16,14 nm,$2090.00 - $2094.00,14,28,2.60 GHz,3.50 GHz,35 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,89°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2695V4,Launched,Q1'16,14 nm,$2424.00 - $2428.00,18,36,2.10 GHz,3.30 GHz,45 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2697AV4,Launched,Q1'16,14 nm,"$2,891.00 ",16,32,2.60 GHz,3.60 GHz,40 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,78°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2697V4,Launched,Q1'16,14 nm,"$2,702.00 ",18,36,2.30 GHz,3.60 GHz,45 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2698V4,Launched,Q1'16,14 nm,"$3,226.00 ",20,40,2.20 GHz,3.60 GHz,50 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,90°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-2699RV4,Launched,04'16,14 nm,"$4,560.00 ",22,44,2.20 GHz,3.60 GHz,55 MB,9.6 GT/s QPI,145 W,Yes,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2699V4,Launched,Q1'16,14 nm,"$4,115.00 ",22,44,2.20 GHz,3.60 GHz,55 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-2699AV4,Launched,04'16,14 nm,"$4,938.00 ",22,44,2.40 GHz,3.60 GHz,55 MB,9.6 GT/s QPI,145 W,No,Yes,1.54 TB,DDR4 1600/1866/2133/2400,4,76.8 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4610V4,Launched,Q2'16,14 nm,"$1,219.00 ",10,20,1.80 GHz,1.80 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4620V4,Launched,Q2'16,14 nm,"$1,668.00 ",10,20,2.10 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4627V4,Launched,Q2'16,14 nm,"$2,225.00 ",10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Embedded,E5-4628LV4,Launched,Q2'16,14 nm,"$2,535.00 ",14,28,1.80 GHz,2.20 GHz,35 MB,8 GT/s QPI,75 W,Yes,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4640V4,Launched,Q2'16,14 nm,"$2,837.00 ",12,24,2.10 GHz,2.60 GHz,30 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4650V4,Launched,Q2'16,14 nm,"$3,838.00 ",14,28,2.20 GHz,2.80 GHz,35 MB,9.6 GT/s QPI,105 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,80,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4655V4,Launched,Q2'16,14 nm,"$4,616.00 ",8,16,2.50 GHz,3.20 GHz,30 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4660V4,Launched,Q2'16,14 nm,"$4,727.00 ",16,32,2.20 GHz,3.00 GHz,40 MB,9.6 GT/s QPI,120 W,Yes,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,83,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4667V4,Launched,Q2'16,14 nm,"$5,729.00 ",18,36,2.20 GHz,3.00 GHz,45 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v4 Family,Server,E5-4669V4,Launched,Q2'16,14 nm,"$7,007.00 ",22,44,2.20 GHz,3.00 GHz,55 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,90,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2603V3,Launched,Q3'14,22 nm,$213.00 - $217.00,6,6,1.60 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,72.8°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2608LV3,Launched,Q3'14,22 nm,$441.00 ,6,12,2.00 GHz,,15 MB SmartCache,6.4 GT/s QPI,52 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,88.84°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2609V3,Launched,Q3'14,22 nm,$306.00 ,6,6,1.90 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,70.9°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2618LV3,Launched,Q3'14,22 nm,$779.00 ,8,16,2.30 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,75 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87.025°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2620V3,Launched,Q3'14,22 nm,$417.00 - $422.00,6,12,2.40 GHz,3.20 GHz,15 MB SmartCache,8 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,72.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2623V3,Launched,Q3'14,22 nm,$444.00 ,4,8,3.00 GHz,3.50 GHz,10 MB SmartCache,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,80.2°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2628LV3,Launched,Q3'14,22 nm,"$1,364.00 ",10,20,2.00 GHz,2.50 GHz,25 MB SmartCache,8 GT/s QPI,75 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87.025°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2630V3,Launched,Q3'14,22 nm,$667.00 - $671.00,8,16,2.40 GHz,3.20 GHz,20 MB SmartCache,8 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,72.1°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2630LV3,Launched,Q3'14,22 nm,$612.00 ,8,16,1.80 GHz,2.90 GHz,20 MB SmartCache,8 GT/s QPI,55 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,60.4°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2637V3,Launched,Q3'14,22 nm,$996.00 ,4,8,3.50 GHz,3.70 GHz,15 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2640V3,Launched,Q3'14,22 nm,$939.00 - $944.00,8,16,2.60 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,90 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74.3°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2643V3,Launched,Q3'14,22 nm,"$1,552.00 ",6,12,3.40 GHz,3.70 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.3°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2650V3,Launched,Q3'14,22 nm,$1166.00 - $1171.00,10,20,2.30 GHz,3.00 GHz,25 MB SmartCache,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,78.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2648LV3,Launched,Q3'14,22 nm,"$1,544.00 ",12,24,1.80 GHz,2.50 GHz,30 MB SmartCache,9.6 GT/s QPI,75 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87.025°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
