"","term","loan_status","Date","home_ownership"
"3839"," 60 months","Fully Paid","9/1/2011","RENT"
"3840"," 60 months","Fully Paid","9/1/2011","RENT"
"3841"," 36 months","Fully Paid","9/1/2011","RENT"
"3842"," 36 months","Fully Paid","9/1/2011","RENT"
"3843"," 36 months","Fully Paid","9/1/2011","RENT"
"3844"," 60 months","Current","9/1/2011","OWN"
"3845"," 36 months","Fully Paid","9/1/2011","RENT"
"3846"," 60 months","Fully Paid","9/1/2011","OWN"
"3847"," 60 months","Fully Paid","9/1/2011","RENT"
"3848"," 36 months","Fully Paid","9/1/2011","RENT"
"3849"," 36 months","Charged Off","9/1/2011","RENT"
"3850"," 36 months","Fully Paid","9/1/2011","RENT"
"3851"," 60 months","Fully Paid","9/1/2011","RENT"
"3852"," 36 months","Fully Paid","9/1/2011","RENT"
"3853"," 60 months","Charged Off","9/1/2011","RENT"
"3854"," 36 months","Fully Paid","9/1/2011","RENT"
"3855"," 36 months","Fully Paid","9/1/2011","RENT"
"3856"," 36 months","Fully Paid","9/1/2011","RENT"
"3857"," 36 months","Fully Paid","9/1/2011","RENT"
"3858"," 36 months","Fully Paid","9/1/2011","RENT"
"3859"," 36 months","Fully Paid","9/1/2011","RENT"
"3860"," 36 months","Fully Paid","9/1/2011","OWN"
"3861"," 36 months","Charged Off","9/1/2011","RENT"
"3862"," 36 months","Charged Off","9/1/2011","RENT"
"3863"," 36 months","Fully Paid","9/1/2011","RENT"
"3864"," 36 months","Fully Paid","10/1/2011","RENT"
"3865"," 36 months","Fully Paid","9/1/2011","RENT"
"3866"," 36 months","Fully Paid","9/1/2011","RENT"
"3867"," 36 months","Fully Paid","9/1/2011","RENT"
"3868"," 36 months","Fully Paid","9/1/2011","RENT"
"3869"," 36 months","Fully Paid","9/1/2011","RENT"
"3870"," 60 months","Charged Off","9/1/2011","OWN"
"3871"," 36 months","Charged Off","9/1/2011","RENT"
"3872"," 36 months","Charged Off","9/1/2011","RENT"
"3873"," 60 months","Charged Off","9/1/2011","RENT"
"3874"," 60 months","Charged Off","9/1/2011","RENT"
"3875"," 36 months","Fully Paid","9/1/2011","RENT"
"3876"," 36 months","Fully Paid","9/1/2011","RENT"
"3877"," 36 months","Fully Paid","9/1/2011","RENT"
"3878"," 36 months","Fully Paid","9/1/2011","RENT"
"3879"," 36 months","Fully Paid","9/1/2011","RENT"
"3880"," 36 months","Fully Paid","9/1/2011","RENT"
"3881"," 36 months","Fully Paid","9/1/2011","RENT"
"3882"," 60 months","Fully Paid","9/1/2011","RENT"
"3883"," 60 months","Fully Paid","9/1/2011","RENT"
"3884"," 36 months","Fully Paid","9/1/2011","RENT"
"3885"," 60 months","Fully Paid","9/1/2011","OWN"
"3886"," 36 months","Fully Paid","9/1/2011","RENT"
"3887"," 60 months","Charged Off","9/1/2011","RENT"
"3888"," 36 months","Fully Paid","9/1/2011","RENT"
"3889"," 36 months","Fully Paid","9/1/2011","RENT"
"3890"," 60 months","Charged Off","9/1/2011","RENT"
"3891"," 60 months","Fully Paid","9/1/2011","OWN"
"3892"," 36 months","Charged Off","9/1/2011","RENT"
"3893"," 60 months","Fully Paid","9/1/2011","OWN"
"3894"," 36 months","Fully Paid","9/1/2011","RENT"
"3895"," 36 months","Fully Paid","9/1/2011","RENT"
"3896"," 36 months","Fully Paid","9/1/2011","RENT"
"3897"," 36 months","Fully Paid","9/1/2011","OWN"
"3898"," 36 months","Fully Paid","9/1/2011","RENT"
"3899"," 36 months","Fully Paid","9/1/2011","RENT"
"3900"," 60 months","Fully Paid","9/1/2011","RENT"
"3901"," 36 months","Fully Paid","9/1/2011","RENT"
"3902"," 36 months","Fully Paid","9/1/2011","RENT"
"3903"," 36 months","Fully Paid","9/1/2011","OWN"
"3904"," 36 months","Fully Paid","9/1/2011","OWN"
"3905"," 60 months","Fully Paid","9/1/2011","OWN"
"3906"," 36 months","Fully Paid","9/1/2011","OWN"
"3907"," 60 months","Charged Off","9/1/2011","RENT"
"3908"," 60 months","Current","9/1/2011","RENT"
"3909"," 36 months","Fully Paid","9/1/2011","RENT"
"3910"," 60 months","Charged Off","9/1/2011","RENT"
"3911"," 60 months","Current","10/1/2011","RENT"
"3912"," 36 months","Fully Paid","9/1/2011","RENT"
"3913"," 36 months","Fully Paid","9/1/2011","OWN"
"3914"," 36 months","Fully Paid","9/1/2011","RENT"
"3915"," 36 months","Charged Off","9/1/2011","RENT"
"3916"," 36 months","Fully Paid","9/1/2011","RENT"
"3917"," 36 months","Fully Paid","9/1/2011","RENT"
"3918"," 36 months","Fully Paid","9/1/2011","OWN"
"3919"," 36 months","Fully Paid","9/1/2011","RENT"
"3920"," 60 months","Current","9/1/2011","RENT"
"3921"," 36 months","Fully Paid","9/1/2011","RENT"
"3922"," 36 months","Fully Paid","9/1/2011","RENT"
"3923"," 36 months","Fully Paid","9/1/2011","RENT"
"3924"," 36 months","Fully Paid","9/1/2011","RENT"
"3925"," 60 months","Charged Off","9/1/2011","RENT"
"3926"," 36 months","Fully Paid","9/1/2011","RENT"
"3927"," 60 months","Charged Off","9/1/2011","RENT"
"3928"," 36 months","Charged Off","9/1/2011","RENT"
"3929"," 36 months","Fully Paid","9/1/2011","RENT"
"3930"," 36 months","Fully Paid","9/1/2011","RENT"
"3931"," 36 months","Fully Paid","9/1/2011","RENT"
"3932"," 36 months","Fully Paid","9/1/2011","RENT"
"3933"," 60 months","Current","9/1/2011","RENT"
"3934"," 60 months","Current","9/1/2011","RENT"
"3935"," 36 months","Fully Paid","9/1/2011","RENT"
"3936"," 36 months","Fully Paid","9/1/2011","OWN"
"3937"," 36 months","Fully Paid","9/1/2011","RENT"
"3938"," 60 months","Current","9/1/2011","OWN"
"3939"," 36 months","Fully Paid","9/1/2011","RENT"
"3940"," 60 months","Fully Paid","9/1/2011","RENT"
"3941"," 36 months","Fully Paid","9/1/2011","OWN"
"3942"," 60 months","Fully Paid","9/1/2011","RENT"
"3943"," 60 months","Fully Paid","9/1/2011","RENT"
"3944"," 36 months","Fully Paid","9/1/2011","RENT"
"3945"," 36 months","Fully Paid","9/1/2011","RENT"
"3946"," 36 months","Fully Paid","9/1/2011","RENT"
"3947"," 36 months","Fully Paid","9/1/2011","RENT"
"3948"," 60 months","Fully Paid","9/1/2011","OWN"
"3949"," 60 months","Current","9/1/2011","RENT"
"3950"," 36 months","Charged Off","9/1/2011","RENT"
"3951"," 36 months","Fully Paid","9/1/2011","RENT"
"3952"," 60 months","Fully Paid","9/1/2011","RENT"
"3953"," 36 months","Fully Paid","9/1/2011","RENT"
"3954"," 60 months","Fully Paid","9/1/2011","OWN"
"3955"," 36 months","Fully Paid","9/1/2011","RENT"
"3956"," 60 months","Charged Off","9/1/2011","RENT"
"3957"," 60 months","Fully Paid","9/1/2011","RENT"
"3958"," 36 months","Fully Paid","9/1/2011","RENT"
"3959"," 36 months","Fully Paid","9/1/2011","RENT"
"3960"," 36 months","Fully Paid","9/1/2011","RENT"
"3961"," 36 months","Fully Paid","9/1/2011","RENT"
"3962"," 36 months","Fully Paid","9/1/2011","RENT"
"3963"," 36 months","Charged Off","9/1/2011","RENT"
"3964"," 60 months","Fully Paid","9/1/2011","RENT"
"3965"," 36 months","Fully Paid","9/1/2011","RENT"
"3966"," 60 months","Fully Paid","9/1/2011","RENT"
"3967"," 36 months","Fully Paid","9/1/2011","OWN"
"3968"," 36 months","Fully Paid","9/1/2011","RENT"
"3969"," 60 months","Charged Off","9/1/2011","RENT"
"3970"," 36 months","Fully Paid","9/1/2011","RENT"
"3971"," 36 months","Fully Paid","9/1/2011","RENT"
"3972"," 36 months","Fully Paid","9/1/2011","RENT"
"3973"," 60 months","Fully Paid","9/1/2011","OWN"
"3974"," 60 months","Charged Off","9/1/2011","RENT"
"3975"," 36 months","Fully Paid","9/1/2011","RENT"
"3976"," 36 months","Fully Paid","9/1/2011","RENT"
"3977"," 36 months","Fully Paid","9/1/2011","RENT"
"3978"," 36 months","Fully Paid","9/1/2011","RENT"
"3979"," 60 months","Current","9/1/2011","RENT"
"3980"," 36 months","Fully Paid","9/1/2011","RENT"
"3981"," 60 months","Fully Paid","9/1/2011","RENT"
"3982"," 60 months","Fully Paid","9/1/2011","RENT"
"3983"," 60 months","Charged Off","9/1/2011","RENT"
"3984"," 36 months","Fully Paid","9/1/2011","RENT"
"3985"," 36 months","Fully Paid","9/1/2011","RENT"
"3986"," 36 months","Fully Paid","9/1/2011","RENT"
"3987"," 36 months","Charged Off","9/1/2011","OWN"
"3988"," 36 months","Fully Paid","9/1/2011","RENT"
"3989"," 36 months","Fully Paid","9/1/2011","RENT"
"3990"," 60 months","Charged Off","9/1/2011","RENT"
"3991"," 36 months","Charged Off","9/1/2011","RENT"
"3992"," 36 months","Fully Paid","9/1/2011","RENT"
"3993"," 36 months","Fully Paid","9/1/2011","RENT"
"3994"," 36 months","Fully Paid","9/1/2011","RENT"
"3995"," 36 months","Fully Paid","9/1/2011","OWN"
"3996"," 36 months","Fully Paid","9/1/2011","RENT"
"3997"," 36 months","Fully Paid","9/1/2011","RENT"
"3998"," 36 months","Charged Off","9/1/2011","RENT"
"3999"," 36 months","Fully Paid","9/1/2011","OWN"
"4000"," 36 months","Fully Paid","9/1/2011","RENT"
"4001"," 60 months","Current","9/1/2011","RENT"
"4002"," 60 months","Charged Off","9/1/2011","RENT"
"4003"," 60 months","Fully Paid","9/1/2011","RENT"
"4004"," 60 months","Fully Paid","9/1/2011","RENT"
"4005"," 36 months","Fully Paid","9/1/2011","RENT"
"4006"," 60 months","Current","9/1/2011","RENT"
"4007"," 36 months","Fully Paid","9/1/2011","OWN"
"4008"," 36 months","Fully Paid","9/1/2011","RENT"
"4009"," 60 months","Charged Off","9/1/2011","RENT"
"4010"," 60 months","Charged Off","9/1/2011","RENT"
"4011"," 36 months","Fully Paid","9/1/2011","RENT"
"4012"," 36 months","Fully Paid","9/1/2011","RENT"
"4013"," 36 months","Fully Paid","9/1/2011","RENT"
"4014"," 36 months","Fully Paid","9/1/2011","RENT"
"4015"," 36 months","Fully Paid","9/1/2011","RENT"
"4016"," 36 months","Charged Off","9/1/2011","RENT"
"4017"," 60 months","Charged Off","9/1/2011","RENT"
"4018"," 60 months","Fully Paid","9/1/2011","RENT"
"4019"," 36 months","Fully Paid","9/1/2011","RENT"
"4020"," 60 months","Fully Paid","9/1/2011","RENT"
"4021"," 36 months","Fully Paid","9/1/2011","OWN"
"4022"," 60 months","Current","9/1/2011","OWN"
"4023"," 36 months","Charged Off","9/1/2011","RENT"
"4024"," 36 months","Fully Paid","9/1/2011","RENT"
"4025"," 36 months","Fully Paid","9/1/2011","RENT"
"4026"," 36 months","Fully Paid","9/1/2011","RENT"
"4027"," 36 months","Charged Off","9/1/2011","RENT"
"4028"," 36 months","Charged Off","9/1/2011","RENT"
"4029"," 60 months","Fully Paid","9/1/2011","OWN"
"4030"," 36 months","Fully Paid","9/1/2011","RENT"
"4031"," 60 months","Fully Paid","9/1/2011","RENT"
"4032"," 36 months","Fully Paid","9/1/2011","RENT"
"4033"," 36 months","Fully Paid","9/1/2011","RENT"
"4034"," 60 months","Current","9/1/2011","OWN"
"4035"," 36 months","Fully Paid","9/1/2011","RENT"
"4036"," 36 months","Fully Paid","9/1/2011","RENT"
"4037"," 60 months","Charged Off","9/1/2011","RENT"
"4038"," 36 months","Fully Paid","9/1/2011","RENT"
"4039"," 36 months","Fully Paid","9/1/2011","RENT"
"4040"," 36 months","Fully Paid","9/1/2011","RENT"
"4041"," 36 months","Fully Paid","9/1/2011","RENT"
"4042"," 60 months","Fully Paid","9/1/2011","OWN"
"4043"," 36 months","Fully Paid","9/1/2011","RENT"
"4044"," 60 months","Fully Paid","9/1/2011","RENT"
"4045"," 36 months","Fully Paid","9/1/2011","RENT"
"4046"," 36 months","Fully Paid","9/1/2011","RENT"
"4047"," 36 months","Fully Paid","9/1/2011","RENT"
"4048"," 36 months","Fully Paid","9/1/2011","RENT"
"4049"," 36 months","Fully Paid","9/1/2011","RENT"
"4050"," 36 months","Fully Paid","9/1/2011","RENT"
"4051"," 36 months","Charged Off","9/1/2011","RENT"
"4052"," 36 months","Charged Off","9/1/2011","RENT"
"4053"," 36 months","Fully Paid","9/1/2011","RENT"
"4054"," 36 months","Fully Paid","9/1/2011","RENT"
"4055"," 36 months","Charged Off","9/1/2011","OWN"
"4056"," 36 months","Fully Paid","9/1/2011","OWN"
"4057"," 36 months","Fully Paid","9/1/2011","RENT"
"4058"," 60 months","Fully Paid","9/1/2011","RENT"
"4059"," 36 months","Fully Paid","9/1/2011","OWN"
"4060"," 36 months","Fully Paid","9/1/2011","RENT"
"4061"," 60 months","Charged Off","9/1/2011","RENT"
"4062"," 36 months","Fully Paid","9/1/2011","RENT"
"4063"," 60 months","Current","9/1/2011","OWN"
"4064"," 60 months","Fully Paid","9/1/2011","RENT"
"4065"," 60 months","Charged Off","9/1/2011","RENT"
"4066"," 60 months","Fully Paid","9/1/2011","RENT"
"4067"," 36 months","Fully Paid","9/1/2011","RENT"
"4068"," 36 months","Fully Paid","9/1/2011","RENT"
"4069"," 60 months","Charged Off","9/1/2011","RENT"
"4070"," 36 months","Fully Paid","9/1/2011","RENT"
"4071"," 36 months","Fully Paid","9/1/2011","RENT"
"4072"," 36 months","Fully Paid","9/1/2011","RENT"
"4073"," 36 months","Fully Paid","9/1/2011","RENT"
"4074"," 36 months","Fully Paid","9/1/2011","RENT"
"4075"," 36 months","Fully Paid","9/1/2011","OWN"
"4076"," 36 months","Fully Paid","9/1/2011","OWN"
"4077"," 36 months","Fully Paid","9/1/2011","RENT"
"4078"," 36 months","Fully Paid","9/1/2011","OWN"
"4079"," 36 months","Fully Paid","9/1/2011","RENT"
"4080"," 36 months","Fully Paid","9/1/2011","RENT"
"4081"," 60 months","Fully Paid","9/1/2011","RENT"
"4082"," 36 months","Fully Paid","9/1/2011","RENT"
"4083"," 36 months","Fully Paid","9/1/2011","RENT"
"4084"," 36 months","Fully Paid","9/1/2011","OWN"
"4085"," 60 months","Fully Paid","9/1/2011","RENT"
"4086"," 36 months","Fully Paid","9/1/2011","RENT"
"4087"," 36 months","Fully Paid","9/1/2011","OWN"
"4088"," 60 months","Current","9/1/2011","OWN"
"4089"," 36 months","Fully Paid","9/1/2011","RENT"
"4090"," 36 months","Fully Paid","9/1/2011","RENT"
"4091"," 36 months","Fully Paid","9/1/2011","RENT"
"4092"," 36 months","Charged Off","9/1/2011","RENT"
"4093"," 36 months","Fully Paid","9/1/2011","RENT"
"4094"," 36 months","Fully Paid","9/1/2011","RENT"
"4095"," 36 months","Fully Paid","9/1/2011","RENT"
"4096"," 36 months","Fully Paid","9/1/2011","RENT"
"4097"," 36 months","Fully Paid","9/1/2011","RENT"
"4098"," 36 months","Fully Paid","9/1/2011","RENT"
"4099"," 36 months","Fully Paid","9/1/2011","OWN"
"4100"," 36 months","Fully Paid","9/1/2011","RENT"
"4101"," 60 months","Fully Paid","9/1/2011","OWN"
"4102"," 36 months","Fully Paid","9/1/2011","RENT"
"4103"," 60 months","Fully Paid","9/1/2011","OWN"
"4104"," 36 months","Fully Paid","9/1/2011","RENT"
"4105"," 60 months","Fully Paid","9/1/2011","RENT"
"4106"," 60 months","Fully Paid","9/1/2011","RENT"
"4107"," 36 months","Charged Off","9/1/2011","RENT"
"4108"," 36 months","Fully Paid","9/1/2011","RENT"
"4109"," 36 months","Fully Paid","9/1/2011","RENT"
"4110"," 60 months","Fully Paid","9/1/2011","RENT"
"4111"," 36 months","Fully Paid","9/1/2011","RENT"
"4112"," 36 months","Fully Paid","9/1/2011","RENT"
"4113"," 36 months","Charged Off","9/1/2011","RENT"
"4114"," 36 months","Fully Paid","9/1/2011","RENT"
"4115"," 36 months","Fully Paid","9/1/2011","RENT"
"4116"," 36 months","Fully Paid","9/1/2011","RENT"
"4117"," 36 months","Fully Paid","9/1/2011","RENT"
"4118"," 36 months","Fully Paid","9/1/2011","OWN"
"4119"," 36 months","Fully Paid","9/1/2011","RENT"
"4120"," 36 months","Fully Paid","9/1/2011","OWN"
"4121"," 60 months","Fully Paid","9/1/2011","RENT"
"4122"," 60 months","Fully Paid","9/1/2011","RENT"
"4123"," 36 months","Fully Paid","9/1/2011","RENT"
"4124"," 36 months","Fully Paid","9/1/2011","RENT"
"4125"," 36 months","Fully Paid","9/1/2011","RENT"
"4126"," 36 months","Fully Paid","9/1/2011","RENT"
"4127"," 60 months","Current","9/1/2011","RENT"
"4128"," 36 months","Fully Paid","9/1/2011","RENT"
"4129"," 36 months","Fully Paid","9/1/2011","OWN"
"4130"," 36 months","Fully Paid","9/1/2011","OWN"
"4131"," 60 months","Fully Paid","9/1/2011","RENT"
"4132"," 36 months","Fully Paid","9/1/2011","RENT"
"4133"," 36 months","Fully Paid","9/1/2011","RENT"
"4134"," 60 months","Current","9/1/2011","RENT"
"4135"," 60 months","Charged Off","9/1/2011","RENT"
"4136"," 36 months","Fully Paid","9/1/2011","RENT"
"4137"," 36 months","Fully Paid","9/1/2011","RENT"
"4138"," 60 months","Current","9/1/2011","OWN"
"4139"," 36 months","Fully Paid","9/1/2011","RENT"
"4140"," 60 months","Fully Paid","9/1/2011","RENT"
"4141"," 60 months","Fully Paid","9/1/2011","RENT"
"4142"," 36 months","Fully Paid","9/1/2011","RENT"
"4143"," 36 months","Fully Paid","9/1/2011","RENT"
"4144"," 36 months","Fully Paid","9/1/2011","RENT"
"4145"," 36 months","Fully Paid","9/1/2011","RENT"
"4146"," 36 months","Fully Paid","9/1/2011","OWN"
"4147"," 36 months","Fully Paid","9/1/2011","RENT"
"4148"," 60 months","Fully Paid","9/1/2011","OWN"
"4149"," 36 months","Fully Paid","9/1/2011","OWN"
"4150"," 36 months","Fully Paid","9/1/2011","RENT"
"4151"," 60 months","Fully Paid","9/1/2011","RENT"
"4152"," 36 months","Fully Paid","9/1/2011","RENT"
"4153"," 60 months","Charged Off","9/1/2011","RENT"
"4154"," 60 months","Charged Off","9/1/2011","RENT"
"4155"," 36 months","Fully Paid","9/1/2011","OWN"
"4156"," 36 months","Fully Paid","9/1/2011","RENT"
"4157"," 36 months","Fully Paid","9/1/2011","RENT"
"4158"," 36 months","Fully Paid","9/1/2011","RENT"
"4159"," 36 months","Fully Paid","9/1/2011","RENT"
"4160"," 36 months","Fully Paid","9/1/2011","RENT"
"4161"," 36 months","Fully Paid","9/1/2011","RENT"
"4162"," 36 months","Fully Paid","9/1/2011","RENT"
"4163"," 36 months","Fully Paid","9/1/2011","RENT"
"4164"," 36 months","Charged Off","9/1/2011","RENT"
"4165"," 36 months","Charged Off","9/1/2011","RENT"
"4166"," 36 months","Fully Paid","9/1/2011","RENT"
"4167"," 60 months","Fully Paid","9/1/2011","OWN"
"4168"," 36 months","Fully Paid","9/1/2011","OWN"
"4169"," 36 months","Charged Off","9/1/2011","RENT"
"4170"," 60 months","Fully Paid","9/1/2011","OWN"
"4171"," 36 months","Fully Paid","9/1/2011","RENT"
"4172"," 60 months","Fully Paid","9/1/2011","RENT"
"4173"," 36 months","Fully Paid","9/1/2011","RENT"
"4174"," 36 months","Fully Paid","9/1/2011","RENT"
"4175"," 36 months","Fully Paid","9/1/2011","RENT"
"4176"," 36 months","Fully Paid","9/1/2011","RENT"
"4177"," 36 months","Charged Off","9/1/2011","RENT"
"4178"," 36 months","Fully Paid","9/1/2011","RENT"
"4179"," 36 months","Fully Paid","9/1/2011","RENT"
"4180"," 36 months","Charged Off","9/1/2011","RENT"
"4181"," 36 months","Fully Paid","9/1/2011","RENT"
"4182"," 60 months","Charged Off","9/1/2011","RENT"
"4183"," 36 months","Fully Paid","9/1/2011","OWN"
"4184"," 60 months","Charged Off","9/1/2011","RENT"
"4185"," 36 months","Fully Paid","9/1/2011","RENT"
"4186"," 36 months","Charged Off","9/1/2011","RENT"
"4187"," 60 months","Fully Paid","9/1/2011","RENT"
"4188"," 36 months","Fully Paid","9/1/2011","RENT"
"4189"," 36 months","Charged Off","9/1/2011","RENT"
"4190"," 60 months","Charged Off","9/1/2011","RENT"
"4191"," 36 months","Fully Paid","9/1/2011","RENT"
"4192"," 36 months","Fully Paid","9/1/2011","RENT"
"4193"," 36 months","Fully Paid","9/1/2011","RENT"
"4194"," 36 months","Fully Paid","9/1/2011","OWN"
"4195"," 60 months","Fully Paid","9/1/2011","RENT"
"4196"," 60 months","Fully Paid","9/1/2011","RENT"
"4197"," 36 months","Fully Paid","9/1/2011","RENT"
"4198"," 36 months","Fully Paid","9/1/2011","OWN"
"4199"," 60 months","Fully Paid","9/1/2011","RENT"
"4200"," 36 months","Fully Paid","9/1/2011","RENT"
"4201"," 60 months","Fully Paid","9/1/2011","RENT"
"4202"," 36 months","Fully Paid","9/1/2011","RENT"
"4203"," 60 months","Current","9/1/2011","RENT"
"4204"," 36 months","Fully Paid","9/1/2011","RENT"
"4205"," 36 months","Fully Paid","9/1/2011","RENT"
"4206"," 36 months","Fully Paid","9/1/2011","RENT"
"4207"," 36 months","Fully Paid","9/1/2011","RENT"
"4208"," 36 months","Fully Paid","9/1/2011","RENT"
"4209"," 60 months","Fully Paid","9/1/2011","RENT"
"4210"," 60 months","Fully Paid","9/1/2011","RENT"
"4211"," 36 months","Fully Paid","9/1/2011","RENT"
"4212"," 36 months","Fully Paid","9/1/2011","RENT"
"4213"," 36 months","Fully Paid","9/1/2011","RENT"
"4214"," 36 months","Fully Paid","9/1/2011","RENT"
"4215"," 36 months","Fully Paid","9/1/2011","RENT"
"4216"," 60 months","Charged Off","9/1/2011","RENT"
"4217"," 36 months","Fully Paid","9/1/2011","RENT"
"4218"," 36 months","Fully Paid","9/1/2011","RENT"
"4219"," 36 months","Fully Paid","9/1/2011","RENT"
"4220"," 36 months","Fully Paid","9/1/2011","RENT"
"4221"," 36 months","Fully Paid","9/1/2011","RENT"
"4222"," 36 months","Charged Off","9/1/2011","RENT"
"4223"," 60 months","Charged Off","9/1/2011","RENT"
"4224"," 60 months","Fully Paid","9/1/2011","RENT"
"4225"," 36 months","Fully Paid","9/1/2011","RENT"
"4226"," 36 months","Fully Paid","9/1/2011","RENT"
"4227"," 36 months","Fully Paid","9/1/2011","RENT"
"4228"," 60 months","Fully Paid","9/1/2011","RENT"
"4229"," 60 months","Charged Off","9/1/2011","RENT"
"4230"," 60 months","Fully Paid","9/1/2011","RENT"
"4231"," 36 months","Fully Paid","9/1/2011","RENT"
"4232"," 36 months","Fully Paid","9/1/2011","RENT"
"4233"," 60 months","Current","9/1/2011","RENT"
"4234"," 36 months","Fully Paid","9/1/2011","OWN"
"4235"," 36 months","Fully Paid","9/1/2011","RENT"
"4236"," 36 months","Fully Paid","9/1/2011","RENT"
"4237"," 60 months","Current","9/1/2011","RENT"
"4238"," 36 months","Fully Paid","9/1/2011","RENT"
"4239"," 36 months","Fully Paid","9/1/2011","RENT"
"4240"," 36 months","Fully Paid","9/1/2011","RENT"
"4241"," 60 months","Current","9/1/2011","RENT"
"4242"," 36 months","Fully Paid","9/1/2011","RENT"
"4243"," 36 months","Fully Paid","9/1/2011","RENT"
"4244"," 60 months","Fully Paid","9/1/2011","RENT"
"4245"," 36 months","Fully Paid","9/1/2011","RENT"
"4246"," 36 months","Fully Paid","9/1/2011","OWN"
"4247"," 36 months","Charged Off","9/1/2011","RENT"
"4248"," 36 months","Fully Paid","9/1/2011","RENT"
"4249"," 60 months","Fully Paid","9/1/2011","RENT"
"4250"," 36 months","Fully Paid","9/1/2011","RENT"
"4251"," 36 months","Fully Paid","9/1/2011","RENT"
"4252"," 36 months","Charged Off","9/1/2011","RENT"
"4253"," 36 months","Fully Paid","9/1/2011","OWN"
"4254"," 60 months","Fully Paid","9/1/2011","RENT"
"4255"," 36 months","Fully Paid","9/1/2011","RENT"
"4256"," 36 months","Fully Paid","9/1/2011","RENT"
"4257"," 36 months","Fully Paid","9/1/2011","RENT"
"4258"," 36 months","Fully Paid","9/1/2011","RENT"
"4259"," 36 months","Fully Paid","9/1/2011","RENT"
"4260"," 36 months","Charged Off","9/1/2011","RENT"
"4261"," 36 months","Fully Paid","9/1/2011","RENT"
"4262"," 60 months","Fully Paid","9/1/2011","RENT"
"4263"," 36 months","Fully Paid","9/1/2011","OWN"
"4264"," 36 months","Fully Paid","9/1/2011","RENT"
"4265"," 60 months","Charged Off","9/1/2011","RENT"
"4266"," 36 months","Fully Paid","9/1/2011","RENT"
"4267"," 36 months","Fully Paid","9/1/2011","RENT"
"4268"," 36 months","Charged Off","9/1/2011","RENT"
"4269"," 36 months","Fully Paid","9/1/2011","RENT"
"4270"," 36 months","Fully Paid","9/1/2011","RENT"
"4271"," 36 months","Fully Paid","9/1/2011","OWN"
"4272"," 36 months","Fully Paid","9/1/2011","RENT"
"4273"," 36 months","Fully Paid","9/1/2011","RENT"
"4274"," 36 months","Charged Off","9/1/2011","RENT"
"4275"," 60 months","Fully Paid","9/1/2011","RENT"
"4276"," 36 months","Fully Paid","9/1/2011","RENT"
"4277"," 60 months","Charged Off","9/1/2011","RENT"
"4278"," 36 months","Fully Paid","9/1/2011","RENT"
"4279"," 36 months","Charged Off","9/1/2011","RENT"
"4280"," 60 months","Charged Off","9/1/2011","RENT"
"4281"," 60 months","Charged Off","9/1/2011","RENT"
"4282"," 36 months","Fully Paid","9/1/2011","RENT"
"4283"," 36 months","Fully Paid","9/1/2011","RENT"
"4284"," 36 months","Fully Paid","9/1/2011","RENT"
"4285"," 60 months","Fully Paid","9/1/2011","RENT"
"4286"," 36 months","Charged Off","9/1/2011","RENT"
"4287"," 60 months","Charged Off","9/1/2011","RENT"
"4288"," 36 months","Fully Paid","9/1/2011","RENT"
"4289"," 36 months","Charged Off","9/1/2011","RENT"
"4290"," 36 months","Fully Paid","9/1/2011","RENT"
"4291"," 60 months","Charged Off","9/1/2011","RENT"
"4292"," 36 months","Fully Paid","9/1/2011","RENT"
"4293"," 36 months","Fully Paid","9/1/2011","RENT"
"4294"," 60 months","Fully Paid","9/1/2011","RENT"
"4295"," 60 months","Charged Off","9/1/2011","RENT"
"4296"," 36 months","Fully Paid","9/1/2011","RENT"
"4297"," 36 months","Fully Paid","9/1/2011","RENT"
"4298"," 36 months","Fully Paid","9/1/2011","RENT"
"4299"," 36 months","Charged Off","9/1/2011","RENT"
"4300"," 36 months","Fully Paid","9/1/2011","RENT"
"4301"," 36 months","Fully Paid","9/1/2011","RENT"
"4302"," 36 months","Fully Paid","9/1/2011","RENT"
"4303"," 36 months","Fully Paid","9/1/2011","OWN"
"4304"," 60 months","Current","9/1/2011","OWN"
"4305"," 36 months","Fully Paid","9/1/2011","RENT"
"4306"," 36 months","Charged Off","9/1/2011","RENT"
"4307"," 36 months","Fully Paid","9/1/2011","OWN"
"4308"," 36 months","Fully Paid","9/1/2011","RENT"
"4309"," 36 months","Fully Paid","9/1/2011","RENT"
"4310"," 36 months","Fully Paid","9/1/2011","RENT"
"4311"," 36 months","Fully Paid","9/1/2011","RENT"
"4312"," 36 months","Fully Paid","9/1/2011","OWN"
"4313"," 60 months","Charged Off","9/1/2011","OWN"
"4314"," 36 months","Fully Paid","9/1/2011","RENT"
"4315"," 60 months","Fully Paid","9/1/2011","RENT"
"4316"," 36 months","Fully Paid","9/1/2011","RENT"
"4317"," 36 months","Fully Paid","9/1/2011","RENT"
"4318"," 36 months","Fully Paid","9/1/2011","RENT"
"4319"," 36 months","Fully Paid","9/1/2011","RENT"
"4320"," 36 months","Fully Paid","9/1/2011","RENT"
"4321"," 60 months","Fully Paid","9/1/2011","OWN"
"4322"," 36 months","Fully Paid","9/1/2011","RENT"
"4323"," 36 months","Fully Paid","9/1/2011","RENT"
"4324"," 36 months","Fully Paid","9/1/2011","OWN"
"4325"," 36 months","Charged Off","9/1/2011","RENT"
"4326"," 60 months","Fully Paid","9/1/2011","RENT"
