" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
C3 AI,C3 AI Suite,,SaaS,No,,,,,"Lunarline, Inc.",FR2213342813
"Canon U.S.A., Inc.",Canon Office Cloud,Agency,SaaS,No,07/16/2020,09/04/2020,Department of Health and Human Services,,Kratos,FR1923039219
Casepoint,Casepoint Government,Agency,SaaS,No,04/09/2021,05/19/2020,United States Securities and Exchange Commission,,"Schellman Compliance, LLC",FR2009476860
"Center for Translational Data Science (CTDS), University of Chicago and Open Commons Consortium (OCC)",Gen3 Data Commons Service,Agency,SaaS,No,11/18/2021,12/08/2021,Department of Veterans Affairs,,"Optic Cyber Solutions, LLC",FR2110056334
"Center for Translational Data Science (CTDS), University of Chicago and Open Commons Consortium (OCC)",Gen3 Data Ecosystems Platform,Agency,SaaS,No,,,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2125059322
CFI Group,Customer Feedback Management System (CFMS),Agency,SaaS,No,04/13/2022,05/31/2019,Department of Health and Human Services,,"Dakota Consulting, Inc.",F1609087941
CFI Group,Customer Feedback Management System (CFMS),Agency,SaaS,Yes,,,Department of the Interior,,,F1609087941
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,No,01/31/2013,01/31/2013,JAB Authorization,,Kratos,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Federal Trade Commission,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Railroad Retirement Board,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Administrative Office of the United States Courts,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Agriculture,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,United States Securities and Exchange Commission,,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,F1206061350
CGI Federal,CGI Federal IaaS Cloud,JAB,IaaS,Yes,,,United States Agency for Global Media,,,F1206061350
CGI Federal,Momentum® Enterprise Suite - JAB,JAB,SaaS,No,04/08/2021,04/26/2021,JAB Authorization,,Kratos,FR2022243058
CGI Federal,Sunflower Asset Management Cloud (SAMC),Agency,SaaS,No,,,Department of Justice,,Kratos,FR2018946952
CircleCI,CircleCI Cloud,Agency,SaaS,No,09/23/2021,09/26/2018,Small Business Administration,,Moss Adams,FR1814240140
CirrusMD,CirrusMD Virtual Health Chat for Government,Agency,SaaS,No,,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2220549818
Cisco Systems Inc.,Cisco Cloudlock for Government,Agency,SaaS,No,11/14/2017,12/04/2017,General Services Administration,,Kratos,F1605107897
Cisco Systems Inc.,Cisco SD-WAN for Government,Agency,SaaS,No,,,Department of Health and Human Services,,Kratos,FR2012534927
Cisco Systems Inc.,WebEx Contact Center Enterprise for Government (WxCCE-G),JAB,SaaS,No,,,JAB Authorization,,"Coalfire Systems, Inc.",FR2113748549
Cisco Systems Inc.,Webex for Government,Agency,SaaS,No,08/24/2022,02/02/2016,Department of Health and Human Services,,"Coalfire Systems, Inc.",F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,National Science Foundation,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Homeland Security,United States Citizenship and Immigration Services,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Federal Trade Commission,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Farm Credit Administration,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Commerce,FirstNet,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,United States International Trade Commission,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Defense,Defense Counterintelligence and Security Agency,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Federal Reserve System,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Labor,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,United States Securities and Exchange Commission,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Homeland Security,United States Secret Service,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Justice,Executive Office for United States Attourneys,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Education,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Homeland Security,United States Secret Service,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,National Aeronautics and Space Administration,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of Engraving and Printing,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of Engraving and Printing,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,United States Agency for International Development,,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Department of Commerce,United States Patent and Trademark Office,,F1511207635
Citrix,Citrix for Government,JAB,SaaS,No,04/11/2022,04/18/2022,JAB Authorization,,"Schellman Compliance, LLC",FR1819254092
"CloudCheckr, Inc.",CloudCheckr CMx Federal,Agency,SaaS,No,,,Other Executive Branch Agency,,Kratos,FR1902150768
Cloudflare,Cloudflare for Government,Agency,SaaS,No,05/26/2022,12/12/2022,Department of the Interior,,"Schellman Compliance, LLC",FR2000863987
Cloudflare,Cloudflare for Government,Agency,SaaS,Yes,,,U.S. Election Assistance Commission,,,FR2000863987
Code42 Software Inc.,Incydr Gov,Agency,SaaS,No,11/01/2022,12/08/2020,Department of Energy,,Deloitte & Touche LLP,FR1910758409
Cofense,Cofense PhishMe,Agency,SaaS,No,10/02/2020,02/12/2021,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Social Security Administration,,,FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Surface Transportation Board,,,FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Department of Education,,,FR2013059515
Cognosante,Enterprise Cloud Fax Government (ECFax),Agency,SaaS,No,,,Department of Veterans Affairs,,"TalaTek, LLC",FR2207365631
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,SaaS,No,03/30/2021,09/12/2018,Department of Commerce,,"Lunarline, Inc.",FR1819057982
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,SaaS,Yes,,,Department of Agriculture,,,FR1819057982
Collabware,Collabspace,JAB,SaaS,No,,,JAB Authorization,,Kratos,FR2128562231
Collabware,Collabspace,JAB,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR2128562231
Collibra,Collibra Data Intelligence Cloud (CDIC),Agency,SaaS,No,09/12/2019,11/27/2019,Tennessee Valley Authority,,"Schellman Compliance, LLC",FR1706403967
Collibra,Collibra Data Intelligence Cloud (CDIC),Agency,SaaS,Yes,,,Department of Homeland Security,,,FR1706403967
Collibra,Collibra Data Intelligence Cloud (CDIC),Agency,SaaS,Yes,,,Department of Veterans Affairs,,,FR1706403967
Collibra,Collibra Data Intelligence Cloud (CDIC),Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,FR1706403967
Collibra,Collibra Data Intelligence Cloud (CDIC),Agency,SaaS,Yes,,,Department of Commerce,United States Patent and Trademark Office,,FR1706403967
"Commvault Systems, Inc.",Metallic,Agency,SaaS,No,,,Department of the Treasury,,"Coalfire Systems, Inc.",FR2115384377
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,No,07/19/2017,02/07/2018,Pension Benefit Guaranty Corporation,,"Schellman Compliance, LLC",F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of Commerce,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Farm Credit Administration,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Federal Trade Commission,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of Energy,DOE Office of the Inspector General,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1506246782
Composite Apps,CuraPatient,Agency,SaaS,No,,,Department of Veterans Affairs,,"First Information Technology Services, Inc.",FR2135180018
"Concur Technologies, Inc.",Concur Cloud for Public Sector,Agency,SaaS,No,,,Department of Defense,,"Schellman Compliance, LLC",FR2234550858
Conga,Conga Contract Lifecycle Management (CLM),,SaaS,No,,,,,"Lunarline, Inc.",FR2115854333
Contegix,SecureCloud,Agency,PaaS,No,03/26/2018,05/21/2015,Department of Energy,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR1833967442
Contegix,SecureCloud,Agency,PaaS,Yes,,,United States House of Representatives,,,FR1833967442
"Continuum GRC, Inc.",ITAM,Agency,SaaS,No,12/23/2020,11/15/2021,Small Business Administration,,"Sentar, Inc.",FR1915750265
"Continuum GRC, Inc.",ITAM,Agency,SaaS,Yes,,,Universal Service Administrative Co.,,,FR1915750265
Copado,Copado GovCloud,Agency,SaaS,No,,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2200507410
CORAS,CORAS Federal,JAB,SaaS,No,07/23/2021,07/27/2021,JAB Authorization,,"Coalfire Systems, Inc.",FR1722160191
Cority Software Inc.,"Cority Trusted Environmental, Health, Safety and Quality Management (EHSQ) Software",Agency,SaaS,No,05/04/2022,08/29/2022,Department of Health and Human Services,,Kratos,FR2029183077
Cority Software Inc.,"Cority Trusted Environmental, Health, Safety and Quality Management (EHSQ) Software",Agency,SaaS,Yes,,,Department of Energy,Office of Science / Argonne Site Office,,FR2029183077
Cority Software Inc.,"Cority Trusted Environmental, Health, Safety and Quality Management (EHSQ) Software",Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR2029183077
Cority Software Inc.,"Cority Trusted Environmental, Health, Safety and Quality Management (EHSQ) Software",Agency,SaaS,Yes,,,Department of Energy,Strategic Petroleum Reserve,,FR2029183077
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,No,09/30/2020,02/02/2016,Department of the Treasury,,"Schellman Compliance, LLC",F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Securities and Exchange Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Postal Service,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Federal Trade Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Small Business Administration,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Capitol Police,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Federal Communications Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Defense,Department of the Navy,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Social Security Administration,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Defense,Defense Acquisition University,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Commerce,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States House of Representatives,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Agency for International Development,,,F1509217359
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,No,04/19/2021,06/21/2017,Department of Homeland Security,,"Coalfire Systems, Inc.",F1206111371
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,Yes,,,Department of Homeland Security,Federal Law Enforcement Training Centers,,F1206111371
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,Yes,,,Department of Defense,United States Marine Corps,,F1206111371
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,Yes,,,Department of Commerce,United States Patent and Trademark Office,,F1206111371
Coupa Software Inc,Coupa Spend Management for Federal,Agency,SaaS,No,11/10/2021,03/10/2022,Federal Reserve System,,"Schellman Compliance, LLC",F1308202329
Coupa Software Inc,Coupa Spend Management for Federal,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration,,F1308202329
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,No,08/17/2022,09/19/2018,Department of Commerce,,"Schellman Compliance, LLC",FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Education,Federal Student Aid,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Federal Retirement Thrift Investment Board,,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Social Security Administration,,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Energy,Office of Science / Argonne Site Office,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Energy,National Training Center,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Energy,Strategic Petroleum Reserve,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Justice,Executive Office of United States Attourneys,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,FR1807853629
CyberArk Software LTD,CyberArk Endpoint Privilege Manager for Government,Agency,SaaS,No,,,Department of Agriculture,,"Schellman Compliance, LLC",FR2001619708
CyberArk Software LTD,CyberArk Identity for Government,Agency,SaaS,No,,,Department of Agriculture,,"Schellman Compliance, LLC",FR2001619337
"Cyware Labs, Inc.",Cyware Cyber Fusion Center (CFC),,SaaS,No,,,,,"Schellman Compliance, LLC",FR2310956122
"Cyxtera Federal Group, Inc.",Cyxtera Platform Government Edition,,IaaS,No,,,,,"Schellman Compliance, LLC",FR2010339248
DataBank Holdings,FedRAMP Compliant CloudPlus,Agency,"IaaS, PaaS",No,05/29/2018,06/08/2018,Farm Credit Administration,,SecureIT,F1404304159
"Databricks, Inc.",Databricks,Agency,"PaaS, SaaS",No,06/30/2022,09/29/2022,Department of Health and Human Services,,"Schellman Compliance, LLC",FR1834740315
Datadog,Datadog,Agency,SaaS,No,05/05/2020,05/14/2020,General Services Administration,,"Schellman Compliance, LLC",FR1912658130
Datadog,Datadog,Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,FR1912658130
Datadog,Datadog for Government,Agency,SaaS,No,04/01/2021,12/15/2021,Department of Veterans Affairs,,"Schellman Compliance, LLC",FR2023864279
Datadog,Datadog for Government,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of the Fiscal Service,,FR2023864279
Datadog,Datadog for Government,Agency,SaaS,Yes,,,Department of Agriculture,,,FR2023864279
Datarobot,Datarobot Government Cloud (DGC),,SaaS,No,,,,,"Fortreum, LLC",FR2131832443
Datavant,Datavant Cloud,Agency,SaaS,No,06/29/2022,12/15/2022,Department of Health and Human Services,,Moss Adams,FR2112152882
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,No,04/01/2021,12/21/2015,Department of Agriculture,,Kratos,F1507317125
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,Yes,,,Department of the Interior,National Park Service,,F1507317125
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,Yes,,,General Services Administration,,,F1507317125
Deloitte,Digital Contact Center (D2C2),JAB,"PaaS, SaaS",No,,,,,"First Information Technology Services, Inc.",FR2207247759
Deloitte,Evidence Management System (EMS),Agency,SaaS,No,01/20/2022,03/15/2016,Department of Labor,,"MindPoint Group, LLC",F1210161615
Deloitte,Evidence Management System (EMS),Agency,SaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1210161615
Deloitte,Evidence Management System (EMS),Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1210161615
Deloitte,Evidence Management System (EMS),Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1210161615
Deloitte,Evidence Management System (EMS),Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1210161615
Devo,Devo.Gov-US,Agency,SaaS,No,,,Small Business Administration,,"Coalfire Systems, Inc.",FR2134254227
DevResults,DevResults,Agency,SaaS,No,08/18/2021,09/09/2021,Department of State,,"Schellman Compliance, LLC",FR2100845343
Digital.ai,Digital.ai Government Cloud,Agency,SaaS,No,01/14/2022,04/05/2022,Department of Veterans Affairs,,Moss Adams,FR2118743892
"Diligent, Inc.",HighBond,Agency,SaaS,No,09/09/2020,11/20/2019,Department of Commerce,,"Schellman Compliance, LLC",FR1834172478
"Diligent, Inc.",HighBond,Agency,SaaS,Yes,,,Department of Health and Human Services,,,FR1834172478
"Diligent, Inc.",HighBond,Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,FR1834172478
"Distributed Solutions, Inc.",AEON,Agency,SaaS,No,09/28/2018,04/08/2019,Department of Justice,,"Lunarline, Inc.",FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Federal Election Commission,,,FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Library of Congress,,,FR1805752046
DLH Corporation,DLH Infinibyte Cloud,Agency,PaaS,No,09/21/2021,03/16/2022,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2000951694
"DNAnexus, Inc.",DNAnexus Platform,Agency,PaaS,No,01/03/2022,10/15/2018,Department of Health and Human Services,,"Schellman Compliance, LLC",FR1814557199
"DNAnexus, Inc.",DNAnexus Platform,Agency,PaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,FR1814557199
DocuSign,DocuSign CLM,Agency,SaaS,No,05/27/2020,08/24/2017,Department of Agriculture,,"Schellman Compliance, LLC",F1605027893
DocuSign,DocuSign CLM,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1605027893
DocuSign,DocuSign CLM,Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1605027893
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,No,07/14/2017,08/10/2017,Federal Communications Commission,,"Schellman Compliance, LLC",F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Tennessee Valley Authority,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,General Services Administration,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Other Executive Branch Agency,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Commerce,FirstNet,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Health and Human Services,Health Resources and Services Administration,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Education,Federal Student Aid,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Homeland Security,Federal Emergency Management Agency,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Commerce,National Telecommunications and Information Administration,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of the Treasury,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Office of Personnel Management,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,United States Agency for International Development,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of State,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Energy,Strategic Petroleum Reserve,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Federal Retirement Thrift Investment Board,,,F1609267945
"Druva, Inc.",Druva inSync,Agency,SaaS,No,07/29/2021,10/18/2017,Department of Health and Human Services,,"Coalfire Systems, Inc.",F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,National Science Foundation,,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of the Interior,United States Geological Survey,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of the Interior,Bureau of Safety and Environmental Enforcement,,F1507136931
