id,type of flower,Days to grow,Work force,Cost to grow,Cost of force,Field m/s,Location,Phone of location
386,Pottiaceae,45,3,5.00,1.88,23,Derek,706-406-9332
387,Euphorbiaceae,34,3,4.77,1.10,27,Prairie Rose,131-829-9857
388,Dilleniaceae,42,3,4.64,1.13,38,Kensington,662-682-0976
389,Blechnaceae,38,7,4.05,1.18,31,Colorado,165-992-5366
390,Pteridaceae,45,4,4.95,1.54,23,Dunning,899-364-8638
391,Araliaceae,35,5,4.19,1.40,35,Victoria,868-640-9135
392,Onagraceae,25,2,4.13,1.52,21,Carioca,752-200-7706
393,Liliaceae,35,5,4.76,1.51,22,8th,890-676-3244
394,Poaceae,42,5,4.47,1.80,30,Brentwood,779-852-7949
395,Gyalectaceae,44,6,4.94,1.68,20,Welch,233-485-1721
396,Fabaceae,26,3,4.75,1.86,35,Oneill,937-775-2979
397,Polygonaceae,29,5,4.51,1.21,21,Manitowish,464-241-1258
398,Araceae,36,5,4.80,1.81,35,Eastlawn,593-170-6015
399,Tamaricaceae,36,2,4.30,1.19,33,Logan,610-243-6945
400,Pinaceae,25,3,4.21,1.12,27,Sachtjen,929-733-9908
401,Euphorbiaceae,25,7,4.61,1.84,21,Schmedeman,106-468-5677
402,Scrophulariaceae,27,7,4.70,1.42,24,Shasta,406-350-3233
403,Lamiaceae,32,7,4.04,1.65,23,Del Mar,155-507-2110
404,Meliaceae,42,5,4.15,1.12,38,Bunting,455-605-3358
405,Peltigeraceae,25,7,4.37,1.27,32,Swallow,330-306-5548
406,Boraginaceae,43,6,4.88,1.93,31,Tennessee,740-867-4102
407,Chenopodiaceae,39,7,4.50,1.26,28,Pearson,796-553-7853
408,Asteraceae,36,4,4.87,1.65,38,Utah,380-325-2152
409,Porpidiaceae,35,7,4.97,1.57,38,Morrow,291-971-0908
410,Selaginellaceae,44,7,4.66,1.21,32,Northport,892-485-1380
411,Pteridaceae,31,3,4.84,1.61,38,Dixon,942-681-7891
412,Rosaceae,39,5,4.56,1.58,21,Muir,184-917-8110
413,Fabaceae,34,6,4.83,1.11,21,Reinke,105-331-5754
414,Brassicaceae,37,7,4.73,1.42,25,John Wall,808-641-6348
415,Poaceae,28,4,4.60,1.32,30,Dryden,324-227-2260
416,Brassicaceae,26,7,4.09,1.34,40,Homewood,688-809-7041
417,Boraginaceae,29,7,4.98,1.24,30,Division,629-843-5464
418,Fabaceae,30,7,4.07,1.95,31,Schurz,790-974-2059
419,Parmeliaceae,44,6,4.93,1.36,30,Dawn,548-593-8958
420,Apiaceae,33,3,4.88,1.37,36,Summit,847-982-8219
421,Myrtaceae,25,3,4.68,1.70,39,Hansons,353-985-3279
422,Pottiaceae,25,4,4.10,1.22,21,Blackbird,145-623-1934
423,Pandanaceae,34,5,4.63,1.22,35,Cody,304-279-4128
424,Cyperaceae,29,4,4.82,1.79,28,Dawn,598-786-4098
425,Nyctaginaceae,37,6,4.03,1.57,28,Mallard,463-768-7593
426,Physciaceae,43,2,4.19,1.30,33,Esker,453-731-9886
427,Onagraceae,34,6,4.97,1.58,30,Magdeline,732-569-5726
428,Lamiaceae,43,7,4.29,1.63,22,Hagan,386-374-9876
429,Portulacaceae,40,5,4.51,1.75,20,Fisk,162-428-5680
430,Pyrenulaceae,31,4,4.43,1.09,38,Crownhardt,921-829-7435
431,Brassicaceae,40,3,4.04,1.48,35,Westend,515-582-9376
432,Asteraceae,42,5,4.09,1.79,23,Vidon,166-627-7121
433,Fabaceae,26,2,4.51,1.05,38,Straubel,363-185-7003
434,Caprifoliaceae,28,3,4.84,1.50,37,Hoffman,537-741-0330
435,Poaceae,40,6,4.96,1.96,25,Ilene,322-189-7477
436,Marsileaceae,39,3,4.77,1.06,31,Carioca,383-734-6167
437,Campanulaceae,39,7,4.23,1.60,24,Clarendon,374-254-0619
438,Simaroubaceae,37,3,4.38,1.97,33,Sunfield,241-457-6932
439,Lauraceae,39,6,4.23,1.32,35,Fremont,615-666-0162
440,Piperaceae,26,2,4.81,1.75,28,Dennis,110-824-7554
441,Iridaceae,45,2,4.79,1.19,39,Fairview,198-677-0710
442,Asteraceae,37,3,4.55,1.17,21,Nobel,567-414-8604
443,Asteraceae,29,7,4.08,1.32,21,Miller,824-253-2511
444,Amblystegiaceae,35,3,4.73,1.28,25,Towne,449-830-8091
445,Parmeliaceae,35,2,4.09,1.43,38,Northwestern,189-832-4048
446,Asteraceae,40,7,4.29,1.25,21,Norway Maple,516-110-0340
447,Asteraceae,27,5,4.61,1.37,36,Pine View,614-938-8890
448,Poaceae,31,5,4.84,1.95,25,Porter,688-915-1491
449,Myrtaceae,37,6,4.54,1.19,21,Oneill,956-857-3606
450,Orchidaceae,25,4,4.54,1.30,24,Village,516-488-5428
451,Hypnaceae,40,4,4.95,1.31,40,Mesta,788-370-7712
452,Orchidaceae,27,3,4.31,1.63,29,Dennis,367-598-2150
453,Poaceae,31,7,4.56,1.51,29,Elgar,845-742-9305
454,Poaceae,33,6,4.52,1.58,31,Morrow,494-285-2019
455,Agavaceae,25,3,4.37,1.56,39,Bluestem,616-417-6175
456,Asteraceae,45,5,4.83,1.75,34,Riverside,449-313-3164
457,Fabaceae,31,5,4.45,1.06,32,Homewood,640-216-1219
458,Ranunculaceae,29,7,4.99,1.33,39,Oriole,505-432-8776
459,Asteraceae,32,5,4.40,1.61,33,Ridgeview,499-114-4050
460,Apiaceae,26,5,4.54,1.45,38,Bellgrove,866-123-9905
461,Poaceae,30,2,4.80,1.58,37,Golf Course,985-925-2234
462,Polemoniaceae,28,6,4.72,1.13,35,Spaight,390-632-6948
463,Poaceae,29,6,4.80,1.62,40,Graceland,489-727-3677
464,Ranunculaceae,40,4,4.38,1.00,20,Kenwood,384-408-9392
465,Poaceae,45,6,4.54,1.95,24,Mendota,709-988-3785
466,Asteraceae,40,3,4.62,1.96,34,Morningstar,436-704-9601
467,Lamiaceae,33,7,4.55,1.40,28,Emmet,631-387-9771
468,Onagraceae,38,3,4.84,1.66,24,Mayer,481-521-3196
469,Dryopteridaceae,29,2,4.31,1.06,20,Dovetail,260-360-1485
470,Solanaceae,45,7,4.39,1.81,20,Rusk,697-179-7452
471,Pinaceae,36,6,4.67,1.74,24,Pleasure,557-618-5421
472,Fabaceae,25,7,4.40,1.61,28,6th,682-189-3794
473,Fabaceae,31,3,4.02,1.38,39,Summit,234-307-8378
474,Asteraceae,28,5,4.35,1.83,20,Bluejay,744-561-9697
475,Asteraceae,32,7,4.08,1.06,27,Transport,405-693-1206
476,Fabaceae,27,7,4.67,1.28,37,Iowa,727-514-1626
477,Scrophulariaceae,34,2,4.43,1.91,22,Brickson Park,676-784-0465
478,Aristolochiaceae,38,2,4.38,1.48,35,Trailsway,311-740-6167
479,Asclepiadaceae,28,4,4.94,1.78,31,Memorial,525-230-4216
480,Parmeliaceae,39,5,4.23,1.42,39,Novick,429-483-5206
481,Ditrichaceae,26,5,4.23,1.42,36,Mockingbird,391-128-0829
482,Pyrolaceae,31,3,4.40,1.79,39,Roxbury,750-152-5575
483,Polygalaceae,28,6,4.49,1.38,28,Wayridge,640-886-5282
484,Apiaceae,25,7,4.64,1.65,27,Comanche,670-429-7149
485,Proteaceae,27,4,4.87,1.73,25,Rigney,449-558-2451
486,Fabaceae,34,2,4.38,1.45,34,4th,929-677-8755
487,Frankeniaceae,27,2,4.94,1.40,29,Tony,864-785-9775
488,Asteraceae,35,4,4.20,1.86,27,Jana,139-696-9512
489,Aristolochiaceae,26,5,4.26,1.55,36,Dorton,776-853-1487
490,Ranunculaceae,30,4,4.54,1.16,39,Orin,913-158-1947
491,Cyperaceae,27,3,4.57,1.10,20,Fremont,428-686-1692
492,Sphagnaceae,34,4,4.59,1.97,38,Aberg,359-691-0867
493,Asteraceae,45,6,5.00,1.46,40,Elmside,136-724-4825
494,Fabaceae,26,5,4.64,1.87,24,Lunder,414-291-4163
495,Orchidaceae,31,3,4.20,1.66,22,Darwin,844-798-2070
496,Fabaceae,40,6,4.71,1.98,36,Hoard,139-150-7958
497,Lamiaceae,29,7,4.15,1.21,27,Prairieview,158-484-7035
498,Rhamnaceae,38,3,4.81,1.58,25,Brentwood,290-103-8242
499,Chenopodiaceae,37,7,4.63,1.63,37,Fisk,143-370-9867
500,Asteraceae,28,6,4.09,1.83,20,Macpherson,656-230-8466
501,Scrophulariaceae,41,3,4.95,1.44,32,Debra,369-861-3423
502,Brassicaceae,42,2,4.31,1.13,35,Milwaukee,418-951-7952
503,Selaginellaceae,45,3,4.07,1.05,25,Leroy,659-705-5832
504,Fabaceae,29,6,4.19,1.28,29,Myrtle,174-616-2221
505,Celastraceae,33,7,4.49,1.35,40,Redwing,170-865-5452
506,Dactylosporaceae,35,6,4.30,1.27,26,Meadow Vale,446-998-3451
507,Rosaceae,38,7,4.23,1.07,20,Trailsway,837-835-3486
508,Onagraceae,45,5,4.70,1.62,39,Scott,200-806-1337
509,Aspleniaceae,28,4,4.15,1.94,20,Luster,507-530-7654
510,Asteraceae,38,3,4.51,1.17,26,Logan,259-545-6617
511,Apiaceae,31,3,4.34,1.04,39,Stephen,325-656-1809
512,Agavaceae,38,6,4.66,1.33,40,Blaine,885-283-2954
513,Asteraceae,30,3,4.85,1.04,29,Arapahoe,523-325-1287
514,Rosaceae,25,7,4.04,1.55,30,Eagle Crest,135-487-6377
515,Cyperaceae,28,5,4.54,1.55,36,Bashford,814-565-6693
516,Apocynaceae,41,2,4.04,1.14,35,Buena Vista,557-158-4363
517,Cuscutaceae,37,5,4.46,1.35,22,Springview,114-950-6356
518,Polytrichaceae,27,7,4.10,1.04,28,Waxwing,637-656-4513
519,Selaginellaceae,42,2,4.15,1.87,36,Hermina,529-685-9279
520,Asteraceae,26,3,4.29,1.52,36,Twin Pines,568-175-2269
521,Lamiaceae,31,4,4.00,1.01,25,Vahlen,953-110-4995
522,Cladoniaceae,38,5,4.12,1.82,40,Boyd,150-321-2866
523,Polemoniaceae,41,7,4.61,1.28,22,Bobwhite,924-919-2994
524,Dryopteridaceae,34,2,4.45,1.00,35,Merrick,468-763-2647
525,Scrophulariaceae,30,3,4.99,1.91,22,Sunbrook,216-118-2451
526,Burseraceae,30,5,4.27,1.77,40,Del Sol,294-475-6144
527,Aspleniaceae,32,6,4.26,1.59,22,Sachtjen,113-675-1677
528,Polytrichaceae,39,7,4.02,1.70,32,Linden,494-448-0635
529,Asclepiadaceae,45,7,4.06,1.12,35,Farwell,755-805-5999
530,Asteraceae,27,7,4.39,1.59,39,Norway Maple,192-466-6393
531,Leskeaceae,26,7,4.51,1.44,40,Dexter,909-271-9479
532,Fabaceae,26,6,4.61,1.04,21,Golf View,665-219-5567
533,Commelinaceae,27,5,4.09,1.20,38,Sachtjen,585-961-0011
534,Asteraceae,39,3,4.08,1.43,27,Kings,647-687-9823
535,Poaceae,26,2,4.63,1.29,26,Becker,448-336-0295
536,Cyperaceae,39,2,4.46,1.77,23,Surrey,637-839-7254
537,Rosaceae,33,5,4.77,1.91,37,Toban,604-273-9957
538,Liliaceae,39,5,4.48,1.42,31,Sauthoff,272-605-1242
539,Polygonaceae,27,7,4.52,1.50,31,Maple Wood,549-697-4358
540,Lycopodiaceae,32,3,4.37,1.87,30,Sunnyside,468-693-9921
541,Caryophyllaceae,36,6,5.00,1.95,33,Village,158-560-7889
542,Capparaceae,39,3,4.30,1.54,37,Grayhawk,474-577-3272
543,Malvaceae,37,5,4.52,1.63,35,Jackson,404-796-0262
544,Rosaceae,36,6,4.82,1.71,30,Crest Line,292-686-9615
545,Asclepiadaceae,29,7,4.79,1.61,22,Scoville,865-468-9899
546,Moraceae,28,6,4.45,1.13,32,Mandrake,201-165-6026
547,Fabaceae,35,4,4.50,1.78,27,Corry,937-322-1428
548,Polygonaceae,40,2,4.49,1.12,36,1st,847-259-9123
549,Malvaceae,41,2,4.22,2.00,36,Del Mar,646-916-8210
550,Asteraceae,44,4,4.90,1.26,21,Sloan,494-603-4461
551,Candelariaceae,31,6,4.41,1.52,24,Corry,836-448-6879
552,Boraginaceae,28,5,4.54,1.50,40,Waxwing,756-572-8112
553,Grammitidaceae,42,6,4.05,1.94,35,Hooker,421-735-0739
554,Polygonaceae,37,6,4.39,1.74,20,Rusk,771-276-7820
555,Asteraceae,44,5,4.49,1.16,35,Moose,263-572-7476
556,Verbenaceae,30,2,4.46,1.43,31,Sherman,529-909-2214
557,Portulacaceae,32,4,4.76,1.21,21,Fisk,160-778-3150
558,Rubiaceae,32,6,4.04,1.02,24,Comanche,425-554-3316
559,Melastomataceae,44,3,4.81,1.27,27,Division,311-200-9055
560,Pontederiaceae,31,7,4.24,1.96,21,Banding,539-759-7525
561,Rosaceae,35,2,4.10,1.46,30,Prentice,652-941-4083
562,Orthotrichaceae,38,2,4.85,1.83,36,Ohio,771-343-8433
563,Asteraceae,35,3,4.09,1.69,20,Gateway,906-324-4633
564,Andreaeaceae,28,4,4.52,1.99,20,3rd,750-917-3268
565,Zygophyllaceae,26,6,4.44,1.60,20,Fisk,924-996-3798
566,Frankeniaceae,35,2,4.53,1.22,35,7th,895-275-9787
567,Hookeriaceae,45,7,4.90,1.84,32,Welch,681-817-0355
568,Lamiaceae,33,4,4.41,1.62,29,Drewry,594-361-6502
569,Hydrophyllaceae,45,4,4.66,1.40,33,Dahle,375-683-5393
570,Fabaceae,31,7,4.85,1.93,37,Hoffman,976-159-3512
571,Poaceae,29,3,4.68,1.88,39,Rockefeller,348-351-1246
572,Nyctaginaceae,25,3,4.61,1.16,35,Moose,342-455-0968
573,Fabaceae,28,7,4.88,1.39,31,Ramsey,139-308-7363
574,Poaceae,30,2,4.64,1.77,25,Buena Vista,904-837-1917
575,Amblystegiaceae,45,2,4.69,1.34,27,Manley,585-907-8124
576,Hydrophyllaceae,42,6,4.93,1.33,35,Kingsford,594-890-3404
577,Fabaceae,44,5,4.26,1.83,38,Eastlawn,227-409-2297
578,Caryophyllaceae,42,3,4.54,1.01,30,Spaight,190-406-6304
579,Scrophulariaceae,33,3,4.12,1.65,20,Blue Bill Park,903-182-3538
580,Fabaceae,26,2,4.38,1.35,39,Buena Vista,942-201-5679
581,Fabaceae,27,7,4.87,1.97,37,Sullivan,520-500-6809
582,Hymenophyllaceae,32,4,4.48,1.95,25,Fairfield,159-352-6228
583,Ditrichaceae,30,6,4.39,1.67,26,Scoville,786-190-9297
584,Brachytheciaceae,29,5,4.00,1.79,31,Chinook,100-610-6399
585,Asteraceae,42,5,4.77,1.50,25,Thierer,993-348-7773
586,Poaceae,28,4,4.50,1.43,23,La Follette,350-576-4874
587,Asteraceae,28,6,4.12,1.56,37,New Castle,871-705-5919
588,Boraginaceae,44,2,4.07,1.97,25,Stang,943-934-3350
589,Fontinalaceae,27,3,4.33,1.80,21,Westridge,718-631-7136
590,Thelenellaceae,40,7,4.53,1.89,38,Sommers,651-962-3115
591,Campanulaceae,37,3,4.36,1.01,28,Sunfield,121-760-9020
592,Euphorbiaceae,35,5,4.55,1.16,37,Lien,791-502-7481
593,Saxifragaceae,36,7,4.73,1.10,39,Eggendart,827-657-9999
594,Dicranaceae,43,7,4.01,1.25,37,Northfield,467-427-6662
595,Hylocomiaceae,42,6,4.14,1.74,22,Oriole,468-646-7284
596,Ranunculaceae,32,7,4.90,1.74,27,Clemons,629-590-9949
597,Cyperaceae,26,5,4.77,1.06,40,West,808-948-3896
598,Asteraceae,31,3,4.76,1.57,40,Cambridge,204-950-3641
599,Asteraceae,35,7,4.00,1.50,34,Arapahoe,145-374-7056
600,Lamiaceae,30,7,4.93,1.53,27,Ludington,574-397-5061
601,Dryopteridaceae,37,4,4.34,1.27,25,Mccormick,941-914-1928
602,Apiaceae,26,2,4.30,1.66,33,Maple,849-695-5424
603,Brassicaceae,37,3,4.53,1.37,35,Jay,982-732-8574
604,Piperaceae,36,4,4.25,1.28,29,Forest,148-495-1987
605,Caryophyllaceae,32,7,4.33,1.48,26,Prentice,798-773-6580
606,Polemoniaceae,40,4,4.68,1.90,36,Farmco,729-184-5026
607,Cyperaceae,35,5,4.14,1.51,40,Sunnyside,599-885-6295
608,Asteraceae,44,4,4.18,1.11,35,Beilfuss,708-605-4275
609,Fabaceae,45,4,4.23,1.07,35,Brown,801-504-8508
610,Brassicaceae,42,7,4.12,1.77,40,Sage,284-974-5885
611,Polemoniaceae,28,4,4.23,1.85,20,Express,870-680-6260
612,Boraginaceae,29,3,4.42,1.11,30,Erie,916-473-2442
613,Fabaceae,38,3,4.44,1.58,23,Vera,203-962-1655
614,Asteraceae,40,3,4.83,1.46,26,Arrowood,881-464-9906
615,Rubiaceae,38,3,4.29,1.90,40,Kipling,321-778-6559
616,Arecaceae,35,7,4.45,1.76,24,Ramsey,193-262-5931
617,Polygonaceae,25,6,4.22,1.98,25,Bay,538-142-1324
618,Violaceae,41,2,4.76,1.07,37,3rd,343-214-2803
619,Fabaceae,35,7,4.17,1.15,37,8th,537-209-9969
620,Lauraceae,27,6,4.60,1.20,37,Fallview,381-820-0924
621,Fagaceae,27,2,4.12,1.76,35,Montana,829-764-6377
622,Liliaceae,25,2,4.83,1.12,38,Kenwood,258-679-4643
623,Fabaceae,43,5,4.58,1.76,21,Bartelt,430-926-8444
624,Liliaceae,34,4,4.31,1.09,27,Norway Maple,530-583-4217
625,Grammitidaceae,41,2,4.28,1.28,23,Mendota,794-306-9490
626,Scrophulariaceae,38,7,4.08,1.02,30,Esker,171-624-9954
627,Aristolochiaceae,39,6,4.70,1.00,29,Kinsman,949-135-4956
628,Rubiaceae,33,5,4.32,1.44,33,Stephen,501-312-1638
629,Liliaceae,30,7,4.26,1.16,35,Michigan,313-790-8973
630,Asteraceae,44,2,4.05,1.18,27,Coolidge,961-419-4456
631,Chenopodiaceae,45,2,4.58,1.60,37,Coleman,994-259-8212
632,Asteraceae,38,2,4.08,1.06,30,Holmberg,847-931-9279
633,Asteraceae,30,5,4.69,1.85,35,Kings,576-626-1963
634,Salviniaceae,30,7,4.53,1.31,29,Rowland,203-256-9187
635,Liliaceae,30,5,4.58,1.36,26,Oxford,747-650-1656
636,Fagaceae,27,5,4.72,1.98,22,Westridge,894-592-9372
637,Cuscutaceae,32,4,4.51,1.41,29,Thierer,838-295-9635
638,Asteraceae,38,3,4.26,1.40,34,Mariners Cove,951-692-5462
639,Juncaceae,27,7,4.43,1.18,20,Di Loreto,675-201-5649
640,Asteraceae,34,5,4.04,1.18,26,Transport,361-378-5682
641,Onagraceae,30,6,4.67,1.68,21,Magdeline,984-383-1186
642,Asteraceae,30,6,4.29,1.56,21,Nobel,196-118-9369
643,Euphorbiaceae,44,6,4.13,1.34,30,Schurz,968-755-3257
644,Brassicaceae,37,2,4.02,1.66,21,Mesta,859-738-3180
645,Caliciaceae,41,6,4.92,1.30,33,Warbler,441-171-8753
646,Mniaceae,42,7,4.73,1.82,35,Pearson,509-600-7176
647,Crassulaceae,38,6,4.93,1.70,35,Fremont,295-597-4916
648,Liliaceae,40,2,4.40,1.35,40,Larry,367-670-4480
649,Malvaceae,32,5,4.83,1.56,22,Farragut,257-567-7809
650,Frankeniaceae,35,5,4.12,1.47,27,Del Mar,694-108-1824
651,Juncaceae,38,2,4.04,1.12,32,Mcguire,602-384-5815
652,Asteraceae,32,5,4.61,1.57,22,Melvin,956-741-4694
653,Physciaceae,27,6,4.09,1.89,26,Independence,714-240-9365
654,Violaceae,26,7,4.59,1.15,25,Fisk,638-604-6667
655,Brassicaceae,30,6,4.09,1.70,29,Menomonie,806-161-2896
656,Chenopodiaceae,33,4,4.29,1.10,32,Shasta,707-290-0289
657,Liliaceae,35,5,4.42,1.19,30,Hayes,616-674-0806
658,Juglandaceae,40,7,4.04,1.46,25,Lakeland,956-128-9455
659,Rubiaceae,39,5,4.62,1.07,23,Straubel,720-572-4134
660,Ranunculaceae,29,5,4.64,1.46,30,Dunning,772-733-3543
661,Asteraceae,39,2,4.02,1.25,26,Rockefeller,856-400-9013
662,Solanaceae,30,5,4.06,1.09,33,Roxbury,185-130-1260
663,Lamiaceae,39,4,4.66,1.71,33,Mayfield,892-934-1461
664,Caryophyllaceae,33,2,4.25,1.77,35,6th,285-938-9834
665,Bacidiaceae,27,5,4.46,1.43,36,Petterle,693-216-7972
666,Sphenocleaceae,25,3,4.05,1.89,35,Dovetail,720-998-2333
667,Malvaceae,27,2,4.53,1.51,40,Nevada,899-641-4429
668,Onagraceae,32,7,4.35,1.27,24,Express,617-159-5934
669,Ranunculaceae,29,3,4.03,1.63,27,Lunder,969-555-1439
670,Asteraceae,27,5,4.42,1.67,30,Debs,721-976-5062
671,Liliaceae,26,3,4.69,1.56,37,Katie,505-306-3747
672,Liliaceae,28,2,4.27,1.02,39,Sycamore,718-636-0944
673,Scrophulariaceae,29,5,4.64,1.26,39,Lunder,173-891-6366
674,Lamiaceae,29,6,4.98,1.59,38,North,688-494-6155
675,Convolvulaceae,30,7,4.29,1.40,29,Atwood,753-143-4491
676,Poaceae,26,4,4.37,1.22,33,Lakewood,143-799-5256
677,Lecideaceae,29,4,4.97,1.59,37,Sullivan,565-717-0769
678,Solanaceae,35,3,4.44,1.40,40,Westport,305-145-3080
679,Convolvulaceae,41,2,4.80,1.89,20,Granby,832-877-6023
680,Haematommataceae,37,5,4.74,1.52,36,Porter,916-395-6810
681,Cactaceae,34,2,4.33,1.06,38,Magdeline,995-191-0360
682,Scrophulariaceae,34,6,4.90,1.76,29,Reinke,983-694-4404
683,Asteraceae,39,5,4.00,1.11,28,Everett,203-836-3175
684,Liliaceae,29,4,4.47,1.82,25,Pennsylvania,210-489-3939
685,Cornaceae,27,5,4.01,1.94,35,Dixon,551-288-7993
686,Malvaceae,30,5,4.09,1.15,36,Browning,618-138-0855
687,Brachytheciaceae,42,5,4.85,1.26,31,Dovetail,986-294-1394
688,Juncaceae,35,7,4.65,1.36,32,Marcy,216-438-2419
689,Polytrichaceae,43,5,4.22,1.92,34,Michigan,962-294-4161
690,Asteraceae,29,5,4.83,1.42,20,Sutteridge,900-989-3140
691,Fabaceae,28,7,4.21,1.96,35,Sunfield,146-650-9819
692,Fabaceae,38,4,4.62,1.29,38,Larry,740-273-4426
693,Acanthaceae,40,2,4.68,1.69,24,Gina,250-718-4748
694,Agavaceae,37,6,4.74,1.09,28,Monica,618-313-8778
695,Loranthaceae,40,7,4.77,1.94,38,Kings,164-226-2008
696,Poaceae,37,6,4.85,1.18,34,Doe Crossing,666-297-1137
697,Poaceae,37,2,4.39,1.65,40,Dunning,850-918-9887
698,Amblystegiaceae,41,7,4.43,1.45,37,Fuller,797-402-3897
699,Bromeliaceae,26,4,4.42,1.90,30,Lillian,774-298-3272
700,Valerianaceae,43,2,4.87,1.00,33,Lunder,506-843-0190
701,Rosaceae,41,2,4.96,1.59,22,Calypso,616-577-0888
702,Cactaceae,45,7,4.50,1.38,35,Mariners Cove,336-266-2358
703,Stictidaceae,37,3,4.68,1.70,33,Katie,285-391-6069
704,Lecanoraceae,35,2,4.24,1.26,32,Brickson Park,263-401-9907
705,Apiaceae,33,6,4.37,1.21,36,John Wall,859-498-3964
706,Brassicaceae,38,4,4.36,1.51,29,Morningstar,431-612-9355
707,Trypetheliaceae,29,7,4.08,1.90,35,Talmadge,541-746-0695
708,Solanaceae,26,3,4.95,1.36,36,Nova,124-134-7390
709,Cyperaceae,25,7,4.60,1.09,20,Birchwood,386-685-1451
710,Liliaceae,42,5,4.15,1.33,22,2nd,272-690-9247
711,Ericaceae,25,3,4.73,1.17,27,Clyde Gallagher,642-417-8045
712,Poaceae,32,3,4.86,1.31,24,Golf,545-442-9462
713,Poaceae,33,3,4.39,1.10,32,Northridge,290-714-2882
714,Sapotaceae,25,5,4.18,1.63,27,Saint Paul,662-717-8764
715,Scrophulariaceae,45,4,5.00,1.16,28,Veith,914-356-5714
716,Fabaceae,26,3,4.10,1.67,27,Weeping Birch,468-389-8999
717,Orchidaceae,42,4,4.34,1.02,23,Redwing,531-213-2085
718,Apiaceae,27,5,4.80,1.45,20,Luster,644-353-8721
719,Boraginaceae,25,6,4.39,1.18,20,Springs,996-289-5838
720,Dryopteridaceae,30,5,4.78,1.82,21,Paget,698-588-6979
721,Zingiberaceae,30,3,4.04,1.37,34,Fulton,536-452-6004
722,Nyctaginaceae,27,2,4.77,1.40,21,Petterle,304-746-6361
723,Bignoniaceae,30,5,4.82,1.38,20,Paget,234-423-7989
724,Rubiaceae,45,7,4.55,1.82,27,Loeprich,888-210-9667
725,Brassicaceae,35,4,4.50,1.69,34,Manitowish,341-663-0424
726,Fabaceae,32,5,4.67,1.33,24,Glacier Hill,989-353-0440
727,Grammitidaceae,41,4,4.99,1.22,35,Mendota,576-424-6851
728,Poaceae,25,2,4.78,1.10,34,Shasta,611-536-5552
729,Asteraceae,25,4,4.24,1.44,31,Riverside,294-392-5681
730,Asteraceae,28,7,4.77,1.74,36,Westridge,632-121-2287
731,Fabaceae,30,7,4.17,1.89,22,Golf View,652-727-3753
732,Brassicaceae,44,4,4.00,1.97,34,Algoma,355-487-0147
733,Onagraceae,30,3,4.94,1.73,36,Vera,921-146-3764
734,Loganiaceae,26,3,4.33,1.73,28,Eastwood,675-506-5499
